seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,qpFreeGate,1,1,0.0850977,11436,98,12.2974,908,908,0,0.00785175,0.00249477,0,0,0.0133929,0,329,93,0.297872,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.0046827,298,39,12.8501,658,658,0,0.00785175,0.00249477,0,0,0.198348,0.489933,116,36,0.336207,0,0,0,0.125749,0.748503,0.125749,0,0,0
1,bookshelf_tall,27,qpFreeGate,1,1,3.24961,418778,5047,15.6358,1051,1051,0,0.00665967,0.00249477,0,0,0.012769,0,29030,5044,0.173855,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,27,qpFreeEnvelope,1,1,0.693221,43809,5709,16.3344,834,834,0,0.00665967,0.00249477,0,0,0.131668,0.279965,29032,5704,0.196645,0,0,0,0.00955593,0.720148,0.270296,0,0,0
1,bookshelf_tall,51,qpFreeGate,1,1,0.392476,50227,444,22.7093,1659,1659,0,0.00816517,0.00249477,0,0,0.0133364,0,1914,441,0.231975,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,51,qpFreeEnvelope,1,1,0.0464414,2923,421,13.8841,708,708,0,0.00816517,0.00249477,0,0,0.204871,0.357852,1676,418,0.251193,0,0,0,0,0.791985,0.208015,0,0,0
1,bookshelf_tall,76,qpFreeGate,1,1,0.101143,13438,114,13.5991,994,994,0,0.00759192,0.00249477,0,0,0.0136052,0,388,110,0.293814,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,76,qpFreeEnvelope,1,1,0.0144936,881,120,19.5624,1001,1001,0,0.00759192,0.00249477,0,0,0.209939,0.473326,388,116,0.309278,0,0,0,0.0456621,0.812785,0.141553,0,0,0
1,bookshelf_thin,2,qpFreeGate,1,1,0.343507,37234,324,17.1164,1220,1220,0,0.00729709,0.00249477,0,0,0.0134481,0,1250,321,0.2592,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,2,qpFreeEnvelope,1,1,0.0461115,2300,336,20.3746,1040,1040,0,0.00729709,0.00249477,0,0,0.216364,0.422609,1158,333,0.290155,0,0,0,0.0259481,0.781437,0.192615,0,0,0
