seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,16,qpFreeGate,1,1,0.468727,38308,323,27.9814,1968,1968,0,0.0070146,0.00249477,0,0,0.0132271,0,1432,320,0.225559,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,16,qpFreeEnvelope,1,1,0.0538464,2198,276,24.7273,1262,1262,0,0.0070146,0.00249477,0,0,0.188434,0.424477,1067,272,0.258669,0,0,0,0.0564516,0.808468,0.135081,0,0,0
1,bookshelf_tall,42,qpFreeGate,1,1,0.0208691,1730,15,14.8089,1170,1170,0,0.00768594,0.00249477,0,0,0.0127111,0,39,10,0.384615,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,42,qpFreeEnvelope,1,1,0.0118016,479,72,19.9927,1027,1027,0,0.00768594,0.00249477,0,0,0.203987,0.434238,232,66,0.310345,0,0,0,0,0.855769,0.144231,0,0,0
1,bookshelf_tall,66,qpFreeGate,1,1,0.0542076,4424,38,15.1833,1144,1144,0,0.00336209,0.00249477,0,0,0.0139605,0,101,33,0.376238,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,66,qpFreeEnvelope,1,1,0.00576392,220,38,15.2481,781,781,0,0.00336209,0.00249477,0,0,0.279307,0.490909,101,33,0.376238,0,0,0,0,0.777778,0.222222,0,0,0
1,bookshelf_tall,91,qpFreeGate,1,1,1.03525,83727,823,18.5078,1394,1394,0,0.00504102,0.00249477,0,0,0.0130426,0,4353,817,0.189065,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,91,qpFreeEnvelope,1,1,0.114076,4980,647,14.2159,729,729,0,0.00675358,0.00249477,0,0,0.171325,0.313855,3078,641,0.210201,0,0,0,0,0.801274,0.198726,0,0,0
1,bookshelf_thin,17,qpFreeGate,1,1,0.0735915,5058,43,12.8027,907,907,0,0.00509988,0.00249477,0,0,0.0142709,0,144,39,0.298611,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,17,qpFreeEnvelope,1,1,0.00906514,297,47,11.9301,612,612,0,0.00509988,0.00249477,0,0,0.243523,0.461279,144,43,0.326389,0,0,0,0,0.79562,0.20438,0,0,0
1,bookshelf_thin,41,qpFreeGate,1,1,0.608623,41198,361,13.8671,1037,1037,0,0.00495121,0.00249477,0,0,0.0134305,0,1445,356,0.249827,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,41,qpFreeEnvelope,1,1,0.0796313,2580,399,32.8917,1680,1680,0,0.00495121,0.00249477,0,0,0.221327,0.371318,1436,392,0.277855,0,0,0,0.00724638,0.768116,0.224638,0,0,0
1,bookshelf_thin,65,qpFreeGate,1,1,0.544985,36905,324,26.6648,1951,1951,0,0.00707411,0.00249477,0,0,0.0133113,0,1401,319,0.231263,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,65,qpFreeEnvelope,1,1,0.0739745,2438,366,18.9859,969,969,0,0.0070738,0.00249477,0,0,0.210754,0.35603,1400,362,0.261429,0,0,0,0,0.774971,0.225029,0,0,0
1,bookshelf_thin,90,qpFreeGate,1,1,0.761042,51836,480,19.3494,1401,1401,0,0.00877859,0.00249477,0,0,0.0131836,0,2041,476,0.235179,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,90,qpFreeEnvelope,1,1,1.05791,36559,5449,18.1298,928,928,0,0.00850013,0.00249477,0,0,0.156202,0.285511,24118,5446,0.225931,0,0,0,0,0.668638,0.331362,0,0,0
1,table_under_pick,14,qpFreeGate,1,1,0.0365501,3680,33,20.5006,1383,1383,0,0.00778899,0.00249477,0,0,0.0141537,0,145,28,0.227586,0,0,0,1,0,0,0,0,0
1,table_under_pick,14,qpFreeEnvelope,1,1,0.0063296,312,49,23.2591,1189,1189,0,0.00778899,0.00249477,0,0,0.216747,0.435897,154,44,0.318182,0,0,0,0,0.823529,0.176471,0,0,0
1,table_under_pick,38,qpFreeGate,1,1,0.025062,2506,21,10.6567,830,830,0,0.00789189,0.00249477,0,0,0.0131313,0,90,16,0.233333,0,0,0,1,0,0,0,0,0
