seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,qpFixed,1,1,0.0116565,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,229657,369
1,bookshelf_tall,1,qpPlain,1,1,0.0119729,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00236139,246,9,10.8682,612,612,0,0.00785175,0.00249477,0,0,0.0520174,0.890244,2,2,4.5,0,0,0,0.105691,0.865854,0.0284553,246,66543,181
1,bookshelf_tall,1,qpEnvelope,1,1,0.000998993,83,9,10.8745,573,573,0,0.00785175,0.00249477,0,0,0.154689,0.86747,2,2,4.5,0,0,0,0.13253,0.783133,0.0843373,83,23442,58
1,bookshelf_tall,27,qpFixed,1,1,0.0180888,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,376618,686
1,bookshelf_tall,27,qpPlain,1,1,0.0190022,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,451045,1315
1,bookshelf_tall,27,qpAdaptive,1,1,0.00630424,538,15,13.1235,788,788,0,0.00392288,0.00249477,0,0,0.0297061,0.48513,3,3,5,0,0,0,0.509294,0.468401,0.0223048,538,171252,463
1,bookshelf_tall,27,qpEnvelope,1,1,0.0035234,243,15,13.1783,710,710,0,0.00392288,0.00249477,0,0,0.0661418,0.37037,3,3,5,0,0,0,0.625514,0.325103,0.0493827,243,77746,214
1,bookshelf_tall,51,qpFixed,1,1,0.0320729,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110893,0,10,9,2.3,0,0,0,1,0,0,2562,714734,1417
1,bookshelf_tall,51,qpPlain,1,1,0.0329737,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110893,0,10,9,2.3,0,0,0,1,0,0,2562,878766,2562
1,bookshelf_tall,51,qpAdaptive,1,1,0.00959195,871,24,16.2377,971,971,0,0.000173008,0.00215955,0,0,0.032742,0.560276,10,9,2.4,0,0,0,0.431214,0.544509,0.0242775,865,262266,732
1,bookshelf_tall,51,qpEnvelope,1,1,0.00521772,384,21,16.3364,896,896,0,0.000246471,0.00144286,0,0,0.0743656,0.424479,10,9,2.1,0,0,0,0.563492,0.388889,0.047619,378,116884,351
1,bookshelf_tall,76,qpFixed,1,1,0.0274365,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,551023,1845
1,bookshelf_tall,76,qpPlain,1,1,0.0267777,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,690459,2013
1,bookshelf_tall,76,qpAdaptive,1,1,0.0206392,1622,13,14.7964,1169,1169,0,0.000328158,3.32499e-05,0,0,0.0122176,0.196671,6,4,2.16667,0,0,0,0.801357,0.194941,0.00370142,1621,447469,1478
1,bookshelf_tall,76,qpEnvelope,1,1,0.0178518,1190,13,14.8489,1073,1073,0,0.000341044,3.24863e-05,0,0,0.0167471,0.0789916,6,4,2.16667,0,0,0,0.920942,0.0723297,0.00672834,1189,329771,1079
1,bookshelf_thin,2,qpFixed,1,1,0.0259656,1557,15,11.2988,1007,1007,0,5.22848e-05,0.00249477,0,0,0.011041,0,4,4,3.75,0,0,0,1,0,0,1555,417469,1318
1,bookshelf_thin,2,qpPlain,1,1,0.0290372,1557,15,11.2988,1007,1007,0,5.22848e-05,0.00249477,0,0,0.011041,0,4,4,3.75,0,0,0,1,0,0,1555,533365,1555
