seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,25,qpFixed,1,1,0.133594,6325,43,14.7145,1248,1248,0,0.000501912,0.00249477,0,0,0.00937706,0,20,19,2.15,0,0,0,1,0,0,6321,1840282,5726
1,bookshelf_tall,25,qpPlain,1,1,0.136737,6325,43,14.7145,1248,1248,0,0.000501912,0.00249477,0,0,0.00937706,0,20,19,2.15,0,0,0,1,0,0,6321,2168103,6321
1,bookshelf_tall,25,qpAdaptive,1,1,0.0936574,5040,61,21.9309,1527,1527,0,0.000451683,0.000787035,0,0,0.0159626,0.438095,26,25,2.34615,0,0,0,0.559659,0.430812,0.00952948,5037,1472766,4716
1,bookshelf_tall,25,qpEnvelope,1,1,0.0635784,3024,58,21.9584,1365,1365,0,0.000325195,0.00101978,0,0,0.0262019,0.229828,26,24,2.23077,0,0,0,0.767958,0.215823,0.0162198,3021,867021,2950
1,bookshelf_tall,49,qpFixed,1,1,0.0626226,3027,24,14.9684,1221,1221,0,0.00117976,0.00249477,0,0,0.0105737,0,9,9,2.66667,0,0,0,1,0,0,3027,755978,2481
1,bookshelf_tall,49,qpPlain,1,1,0.0656141,3027,24,14.9684,1221,1221,0,0.00117976,0.00249477,0,0,0.0105737,0,9,9,2.66667,0,0,0,1,0,0,3027,1038261,3027
1,bookshelf_tall,49,qpAdaptive,1,1,0.0337801,1719,21,14.9958,975,975,0,0.00117461,0.00249477,0,0,0.016957,0.300175,9,8,2.33333,0,0,0,0.698487,0.294529,0.00698487,1718,434927,1650
1,bookshelf_tall,49,qpEnvelope,1,1,0.0204997,960,21,14.2407,811,811,0,0.0011593,0.00249477,0,0,0.0319358,0.185417,9,7,2.33333,0,0,0,0.813542,0.167708,0.01875,960,244443,934
1,bookshelf_tall,74,qpFixed,1,1,0.0670199,3144,22,18.6061,1557,1557,0,0.00265171,5.49278e-06,0,0,0.009971,0,8,8,2.75,0,0,0,1,0,0,3144,945061,2634
1,bookshelf_tall,74,qpPlain,1,1,0.0678064,3144,22,18.6061,1557,1557,0,0.00265171,5.49278e-06,0,0,0.009971,0,8,8,2.75,0,0,0,1,0,0,3144,1078392,3144
1,bookshelf_tall,74,qpAdaptive,1,1,0.0457099,2201,26,19.0576,1437,1437,0,0.00265311,1.16346e-05,0,0,0.0145856,0.190822,8,8,3.25,0,0,0,0.80736,0.186733,0.00590641,2201,676206,2080
1,bookshelf_tall,74,qpEnvelope,1,1,0.0375964,1712,22,18.6842,1304,1304,0,0.00317145,5.29232e-06,0,0,0.0182389,0.10514,8,8,2.75,0,0,0,0.89486,0.0992991,0.00584112,1712,524363,1664
1,bookshelf_tall,100,qpFixed,1,1,0.00712384,356,6,6.90852,530,530,0,0.00850853,0.00249477,0,0,0.019406,0,1,1,6,0,0,0,1,0,0,356,102238,74
1,bookshelf_tall,100,qpPlain,1,1,0.00727014,356,6,6.90852,530,530,0,0.00850853,0.00249477,0,0,0.019406,0,1,1,6,0,0,0,1,0,0,356,122108,356
1,bookshelf_tall,100,qpAdaptive,1,1,0.0015172,91,6,6.90843,394,394,0,0.00850853,0.00249477,0,0,0.0759168,0.681319,1,1,6,0,0,0,0.307692,0.648352,0.043956,91,29473,60
1,bookshelf_tall,100,qpEnvelope,1,1,0.000795824,39,6,6.91181,364,364,0,0.00850853,0.00249477,0,0,0.177226,0.692308,1,1,6,0,0,0,0.307692,0.589744,0.102564,39,12606,26
1,bookshelf_thin,24,qpFixed,1,1,0.0270166,1107,13,11.831,957,957,0,0.0098452,0.00249477,0,0,0.0122959,0,2,2,6.5,0,0,0,1,0,0,1107,292480,359
1,bookshelf_thin,24,qpPlain,1,1,0.0279736,1107,13,11.831,957,957,0,0.0098452,0.00249477,0,0,0.0122959,0,2,2,6.5,0,0,0,1,0,0,1107,379701,1107
1,bookshelf_thin,24,qpAdaptive,1,1,0.0034123,205,11,11.8383,680,680,0,0.00984784,0.00249477,0,0,0.066392,0.902439,2,2,5.5,0,0,0,0.0926829,0.858537,0.0487805,205,56337,104
1,bookshelf_thin,24,qpEnvelope,1,1,0.00122807,50,11,11.868,615,615,0,0.0109802,0.00249477,0,0,0.273417,0.98,2,2,5.5,0,0,0,0,0.8,0.2,50,14216,29
1,bookshelf_thin,48,qpFixed,1,1,0.0625973,2427,23,11.974,868,868,0,0.00351357,0.00188774,0,0,0.0115302,0,7,6,3.28571,0,0,0,1,0,0,2427,691427,1813
1,bookshelf_thin,48,qpPlain,1,1,0.0629679,2427,23,11.974,868,868,0,0.00351357,0.00188774,0,0,0.0115302,0,7,6,3.28571,0,0,0,1,0,0,2427,832461,2427
1,bookshelf_thin,48,qpAdaptive,1,1,0.0263577,1135,20,11.9563,719,719,0,0.00352225,0.00179924,0,0,0.0246477,0.348018,7,6,2.85714,0,0,0,0.65022,0.333921,0.015859,1135,321231,1051
1,bookshelf_thin,48,qpEnvelope,1,1,0.0165458,636,21,11.8786,646,646,0,0.0038122,0.000263908,0,0,0.0437254,0.22327,7,6,3,0,0,0,0.773585,0.194969,0.0314465,636,179175,605
1,bookshelf_thin,72,qpFixed,1,1,0.0108173,438,6,5.32453,439,439,0,0.0013295,0.00249477,0,0,0.0121564,0,1,1,6,0,0,0,1,0,0,438,94781,207
1,bookshelf_thin,72,qpPlain,1,1,0.011329,438,6,5.32453,439,439,0,0.0013295,0.00249477,0,0,0.0121564,0,1,1,6,0,0,0,1,0,0,438,150234,438
1,bookshelf_thin,72,qpAdaptive,1,1,0.00527515,212,6,5.32717,355,355,0,0.0013295,0.00249477,0,0,0.0251282,0.160377,1,1,6,0,0,0,0.839623,0.146226,0.0141509,212,46763,198
1,bookshelf_thin,72,qpEnvelope,1,1,0.00443797,172,6,5.34782,335,335,0,0.0013295,0.00249477,0,0,0.031092,0.0930233,1,1,6,0,0,0,0.906977,0.0755814,0.0174419,172,37907,164
1,bookshelf_thin,97,qpFixed,1,1,0.0151416,606,7,8.37471,607,607,0,0.000736776,0.00249477,0,0,0.0138197,0,1,1,7,0,0,0,1,0,0,606,147012,253
1,bookshelf_thin,97,qpPlain,1,1,0.0157652,606,7,8.37471,607,607,0,0.000736776,0.00249477,0,0,0.0138197,0,1,1,7,0,0,0,1,0,0,606,207858,606
1,bookshelf_thin,97,qpAdaptive,1,1,0.00624404,250,7,8.37928,519,519,0,0.000736776,0.00249477,0,0,0.0335171,0.272,1,1,7,0,0,0,0.724,0.26,0.016,250,67546,223
1,bookshelf_thin,97,qpEnvelope,1,1,0.00500621,187,7,8.39028,491,491,0,0.000751217,0.00249477,0,0,0.0448678,0.149733,1,1,7,0,0,0,0.850267,0.128342,0.0213904,187,50040,172
1,table_under_pick,21,qpFixed,1,1,0.0389946,2250,20,12.3999,1073,1073,0,0.00223876,0.00249477,0,0,0.0114688,0,5,5,4,0,0,0,1,0,0,2250,631728,2049
1,table_under_pick,21,qpPlain,1,1,0.0392891,2250,20,12.3999,1073,1073,0,0.00223876,0.00249477,0,0,0.0114688,0,5,5,4,0,0,0,1,0,0,2250,771750,2250
1,table_under_pick,21,qpAdaptive,1,1,0.0234102,1486,21,12.3967,937,937,0,0.00223082,0.00249477,0,0,0.0173634,0.381561,5,5,4.2,0,0,0,0.614401,0.376851,0.00874832,1486,415242,1449
1,table_under_pick,21,qpEnvelope,1,1,0.012243,717,19,12.375,754,754,0,0.00220157,0.00249477,0,0,0.0360611,0.417015,5,5,3.8,0,0,0,0.580195,0.396095,0.0237099,717,206825,696
1,table_under_pick,45,qpFixed,1,1,0.0257461,1466,13,8.58843,759,759,0,0.00495388,7.19029e-05,0,0,0.00984068,0,4,4,3.25,0,0,0,1,0,0,1466,442823,1267
1,table_under_pick,45,qpPlain,1,1,0.0256161,1466,13,8.58843,759,759,0,0.00495388,7.19029e-05,0,0,0.00984068,0,4,4,3.25,0,0,0,1,0,0,1466,502838,1466
1,table_under_pick,45,qpAdaptive,1,1,0.0139733,858,13,8.62322,669,669,0,0.0049635,7.13706e-05,0,0,0.017007,0.370629,4,4,3.25,0,0,0,0.628205,0.365967,0.00582751,858,263224,829
1,table_under_pick,45,qpEnvelope,1,1,0.0155888,876,18,14.3103,897,897,0,0.00173054,5.27922e-05,0,0,0.0292552,0.259132,9,8,2,0,0,0,0.740868,0.242009,0.0171233,876,261809,846
1,table_under_pick,70,qpFixed,1,1,0.126239,6656,41,18.7287,1646,1646,0,4.65375e-06,0.00249477,0,0,0.00919206,0,21,18,1.95238,0,0,0,1,0,0,6655,1632238,6022
1,table_under_pick,70,qpPlain,1,1,0.132506,6656,41,18.7287,1646,1646,0,4.65375e-06,0.00249477,0,0,0.00919206,0,21,18,1.95238,0,0,0,1,0,0,6655,2282665,6655
1,table_under_pick,70,qpAdaptive,1,1,0.0742651,4287,39,18.8316,1370,1370,0,4.41034e-06,0.00249477,0,0,0.0135698,0.335433,21,17,1.85714,0,0,0,0.662074,0.332555,0.00537132,4285,1007394,4133
1,table_under_pick,70,qpEnvelope,1,1,0.0564985,3051,41,19.3358,1236,1236,0,3.50118e-06,0.00249477,0,0,0.0206897,0.275975,21,18,1.95238,0,0,0,0.721785,0.267717,0.0104987,3049,752806,2969
1,table_under_pick,94,qpFixed,1,1,0.0442433,2475,18,13.1388,1060,1060,0,0.000472264,0.00249477,0,0,0.0111966,0,9,8,2,0,0,0,1,0,0,2475,713685,2170
1,table_under_pick,94,qpPlain,1,1,0.0444083,2475,18,13.1388,1060,1060,0,0.000472264,0.00249477,0,0,0.0111966,0,9,8,2,0,0,0,1,0,0,2475,848925,2475
1,table_under_pick,94,qpAdaptive,1,1,0.0258428,1623,18,13.093,905,905,0,0.000483505,0.00249477,0,0,0.017049,0.414048,9,8,2,0,0,0,0.582255,0.409735,0.00800986,1623,466779,1570
1,table_under_pick,94,qpEnvelope,1,1,0.0186433,1051,20,13.812,837,837,0,0.00102723,0.00249477,0,0,0.0272856,0.319696,9,8,2.22222,0,0,0,0.678402,0.304472,0.0171265,1051,311427,1024
1,bookshelf_small,19,qpFixed,1,1,0.0122032,942,15,6.25613,519,519,0,0.00604043,0.00249477,0,0,0.0111533,0,2,2,7.5,0,0,0,1,0,0,942,230932,543
1,bookshelf_small,19,qpPlain,1,1,0.0128506,942,15,6.25613,519,519,0,0.00604043,0.00249477,0,0,0.0111533,0,2,2,7.5,0,0,0,1,0,0,942,323106,942
1,bookshelf_small,19,qpAdaptive,1,1,0.00461225,373,15,6.23999,387,387,0,0.00604043,0.00249477,0,0,0.0281315,0.458445,2,2,7.5,0,0,0,0.530831,0.436997,0.0321716,373,91391,342
1,bookshelf_small,19,qpEnvelope,1,1,0.00139391,89,13,8.16811,426,426,0,0.00604043,0.00183161,0,0,0.202129,0.932584,3,3,4.33333,0,0,0,0.0449438,0.797753,0.157303,89,24383,62
1,bookshelf_small,45,qpFixed,1,1,0.0110038,832,7,7.76418,700,700,0,0.00222703,0.00249477,0,0,0.0101455,0,2,2,3.5,0,0,0,1,0,0,832,244945,449
1,bookshelf_small,45,qpPlain,1,1,0.0109912,832,7,7.76418,700,700,0,0.00222703,0.00249477,0,0,0.0101455,0,2,2,3.5,0,0,0,1,0,0,832,285376,832
1,bookshelf_small,45,qpAdaptive,1,1,0.00505159,368,7,7.78571,511,511,0,0.00220726,0.00249477,0,0,0.0229949,0.230978,2,2,3.5,0,0,0,0.763587,0.225543,0.0108696,368,117049,329
1,bookshelf_small,45,qpEnvelope,1,1,0.00375458,251,7,7.81035,466,466,0,0.00191031,0.00249477,0,0,0.0338768,0.219124,2,2,3.5,0,0,0,0.780876,0.203187,0.0159363,251,79812,231
1,bookshelf_small,69,qpFixed,1,1,0.0135858,1044,11,10.2181,755,755,0,0.00603308,0.00249477,0,0,0.0127278,0,6,4,1.83333,0,0,0,1,0,0,1038,321118,277
1,bookshelf_small,69,qpPlain,1,1,0.0137067,1044,11,10.2181,755,755,0,0.00603308,0.00249477,0,0,0.0127278,0,6,4,1.83333,0,0,0,1,0,0,1038,356034,1038
1,bookshelf_small,69,qpAdaptive,1,1,0.00335523,263,11,10.2201,567,567,0,0.00603308,0.00249477,0,0,0.0505313,0.425856,6,4,1.83333,0,0,0,0.55642,0.412451,0.0311284,257,83600,195
1,bookshelf_small,69,qpEnvelope,1,1,0.00280909,170,10,10.1958,528,528,0,0.00603308,0.00249477,0,0,0.0780373,0.194118,6,4,1.66667,0,0,0,0.79878,0.158537,0.0426829,164,53827,144
1,bookshelf_small,94,qpFixed,1,1,0.0350687,2533,15,12.3083,916,916,0,0.00577902,0.00249477,0,0,0.0100404,0,8,7,1.875,0,0,0,1,0,0,2533,714026,1810
1,bookshelf_small,94,qpPlain,1,1,0.0361114,2533,15,12.3083,916,916,0,0.00577902,0.00249477,0,0,0.0100404,0,8,7,1.875,0,0,0,1,0,0,2533,868819,2533
1,bookshelf_small,94,qpAdaptive,1,1,0.0194095,1423,15,12.3076,751,751,0,0.00580888,0.00249477,0,0,0.0178471,0.370344,8,7,1.875,0,0,0,0.625879,0.365682,0.00843882,1422,427391,1361
1,bookshelf_small,94,qpEnvelope,1,1,0.00356693,235,15,11.2135,624,624,0,0.00431595,0.00249477,0,0,0.0557154,0.497872,4,3,3.75,0,0,0,0.482906,0.465812,0.0512821,234,72260,225
