seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00944523,2027,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,18,8,0.666667,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00695938,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,229657,369
1,bookshelf_tall,1,qpPlain,1,1,0.00764093,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00221092,246,9,10.8682,612,612,0,0.00785175,0.00249477,0,0,0.0520174,0.890244,2,2,4.5,0,0,0,0.105691,0.865854,0.0284553,246,66543,181
1,bookshelf_tall,1,qpFreeGate,1,1,0.0133838,1758,11,10.4526,1057,1057,0,0.00420662,0.00249477,0,0,0.00670499,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00598709,295,22,12.076,624,624,0,0.00785175,0.00249477,0,0,0.109031,0.942373,36,17,0.611111,0,0,0,0.0276817,0.84083,0.131488,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.000949474,83,9,10.8745,573,573,0,0.00785175,0.00249477,0,0,0.154689,0.86747,2,2,4.5,0,0,0,0.13253,0.783133,0.0843373,83,23442,58
1,bookshelf_tall,27,isSafe,1,1,0.0185676,3927,21,14.5973,9,731,0,0.00376789,0.00249477,0,0,0,0,57,15,0.368421,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,27,qpFixed,1,1,0.0107101,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,376618,686
1,bookshelf_tall,27,qpPlain,1,1,0.0111316,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,451045,1315
1,bookshelf_tall,27,qpAdaptive,1,1,0.00517362,538,15,13.1235,788,788,0,0.00392288,0.00249477,0,0,0.0297061,0.48513,3,3,5,0,0,0,0.509294,0.468401,0.0223048,538,171252,463
1,bookshelf_tall,27,qpFreeGate,1,1,0.19805,27140,74,13.3428,1481,1481,0,0.00443821,0.00227489,0,0,0.00451703,0,206,64,0.359223,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,27,qpFreeEnvelope,1,1,0.0695139,3365,136,14.1439,749,749,0,0.000726018,0.00249477,0,0,0.072137,0.952452,460,129,0.295652,0,0,0,0.0245069,0.832038,0.143455,0,0,0
1,bookshelf_tall,27,qpEnvelope,1,1,0.00290112,243,15,13.1783,710,710,0,0.00392288,0.00249477,0,0,0.0661418,0.37037,3,3,5,0,0,0,0.625514,0.325103,0.0493827,243,77746,214
