seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,15,isSafe,1,1,0.110447,14448,73,16.6769,10,835,0,0.00641333,0.00249477,0,0,0,0,372,69,0.196237,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.0422522,3270,22,14.7046,1293,1293,0,0.000637067,0.00249477,0,0,0.0100927,0,9,8,2.44444,0,0,0,1,0,0,3270,844096,2522
1,bookshelf_tall,15,qpPlain,1,1,0.045357,3270,22,14.7046,1293,1293,0,0.000637067,0.00249477,0,0,0.0100927,0,9,8,2.44444,0,0,0,1,0,0,3270,1121610,3270
1,bookshelf_tall,15,qpAdaptive,1,1,0.0302182,2074,22,14.7391,1043,1043,0,0.000635056,0.00249477,0,0,0.0159504,0.129701,9,8,2.44444,0,0,0,0.869817,0.124397,0.00578592,2074,555787,2004
1,bookshelf_tall,15,qpFreeGate,1,1,0.214705,18412,50,18.8269,1607,1607,0,0.00127322,0.00249477,0,0,0.00426753,0,116,38,0.431034,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpFreeEnvelope,1,1,0.0287559,864,46,19.1028,995,995,0,0.00147251,0.00249477,0,0,0.0854239,0.962963,116,36,0.396552,0,0,0,0.0139697,0.820722,0.165308,0,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.0262988,1784,23,14.7051,905,905,0,0.000419686,0.00249477,0,0,0.0187913,0.0560538,9,8,2.55556,0,0,0,0.943946,0.0476457,0.00840807,1784,484074,1747
1,bookshelf_tall,41,isSafe,1,1,0.0138249,1797,11,15.7148,9,787,0,0.00333988,0.00249477,0,0,0,0,14,7,0.785714,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,41,qpFixed,1,1,0.0557409,4217,26,11.3758,983,983,0,0.000565708,0.00249477,0,0,0.00965754,0,14,12,1.85714,0,0,0,1,0,0,4217,1062097,3502
1,bookshelf_tall,41,qpPlain,1,1,0.0596242,4217,26,11.3758,983,983,0,0.000565708,0.00249477,0,0,0.00965754,0,14,12,1.85714,0,0,0,1,0,0,4217,1446431,4217
1,bookshelf_tall,41,qpAdaptive,1,1,0.0406331,2788,26,11.3949,802,802,0,0.000559784,0.00249477,0,0,0.0146571,0.291248,14,12,1.85714,0,0,0,0.706958,0.287661,0.0053802,2788,728673,2642
1,bookshelf_tall,41,qpFreeGate,1,1,0.0505248,4337,18,16.4354,1486,1486,0,0.00549714,0.00249477,0,0,0.00599169,0,21,12,0.857143,0,0,0,1,0,0,0,0,0
