seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,8,isSafe,1,1,0.0174082,3780,21,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,16,0.552632,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.0126133,1012,10,12.243,934,934,0,0.00105303,0.00249477,0,0,0.0128982,0,2,2,5,0,0,0,1,0,0,1010,274645,458
1,bookshelf_tall,8,qpPlain,1,1,0.0133501,1012,10,12.243,934,934,0,0.00105303,0.00249477,0,0,0.0128982,0,2,2,5,0,0,0,1,0,0,1010,346430,1010
1,bookshelf_tall,8,qpAdaptive,1,1,0.00642565,453,10,12.25,771,771,0,0.00105723,0.00249477,0,0,0.0289584,0.304636,2,2,5,0,0,0,0.694013,0.2949,0.0110865,451,128005,399
1,bookshelf_tall,8,qpFreeGate,1,1,0.0417149,5787,24,13.3466,1060,1060,0,0.00427847,0.00249477,0,0,0.00607884,0,38,17,0.631579,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpFreeEnvelope,1,1,0.0085138,429,28,17.2427,911,911,0,0.00427847,0.00249477,0,0,0.106348,0.986014,40,20,0.7,0,0,0,0.004662,0.86014,0.135198,0,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.00362801,231,10,12.2847,686,686,0,0.00101639,0.00249477,0,0,0.0567368,0.285714,2,2,5,0,0,0,0.71179,0.262009,0.0262009,229,64068,214
1,bookshelf_tall,34,isSafe,1,1,0.225645,47179,247,13.5468,9,679,0,0.00982174,0.000460666,0,0,0,0,1325,243,0.186415,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,34,qpFixed,1,1,0.0315168,2311,19,8.3932,766,766,0,0.00143324,0.00249477,0,0,0.00945527,0,7,6,2.71429,0,0,0,1,0,0,2311,700370,2237
1,bookshelf_tall,34,qpPlain,1,1,0.0315584,2311,19,8.3932,766,766,0,0.00143324,0.00249477,0,0,0.00945527,0,7,6,2.71429,0,0,0,1,0,0,2311,792673,2311
1,bookshelf_tall,34,qpAdaptive,1,1,0.0179674,1250,19,8.35817,582,582,0,0.00156247,0.00249477,0,0,0.0174539,0.584,7,6,2.71429,0,0,0,0.4104,0.5752,0.0144,1250,391793,1221
1,bookshelf_tall,34,qpFreeGate,1,1,0.200729,27018,71,16.6462,1753,1753,0,0.00529243,0.000320763,0,0,0.00408516,0,172,60,0.412791,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,34,qpFreeEnvelope,1,1,0.0163367,800,41,10.922,590,590,0,0.00538376,0.00249477,0,0,0.0766803,0.97125,88,31,0.465909,0,0,0,0.0162703,0.846058,0.137672,0,0,0
1,bookshelf_tall,34,qpEnvelope,1,1,0.0084259,525,20,8.38184,497,497,0,0.00152517,0.00249477,0,0,0.0412894,0.767619,7,6,2.85714,0,0,0,0.224762,0.735238,0.04,525,163737,520
1,bookshelf_tall,58,isSafe,1,1,0.0663473,13917,72,17.1475,10,859,0,0.0010999,0.000140925,0,0,0,0,378,69,0.190476,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,58,qpFixed,1,1,0.0201567,1483,17,10.8606,969,969,0,0.000858023,0.000140925,0,0,0.00992296,0,4,4,4.25,0,0,0,1,0,0,1483,449114,1294
1,bookshelf_tall,58,qpPlain,1,1,0.0199902,1483,17,10.8606,969,969,0,0.000858023,0.000140925,0,0,0.00992296,0,4,4,4.25,0,0,0,1,0,0,1483,508669,1483
1,bookshelf_tall,58,qpAdaptive,1,1,0.0110639,775,17,10.8531,744,744,0,0.000858299,0.000140925,0,0,0.0190683,0.477419,4,4,4.25,0,0,0,0.52,0.461935,0.0180645,775,237770,753
1,bookshelf_tall,58,qpFreeGate,1,1,0.114094,15539,44,10.9494,1137,1137,0,0.00299008,0.000140925,0,0,0.00465028,0,122,37,0.360656,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,58,qpFreeEnvelope,1,1,0.019694,921,59,17.1897,924,924,0,0.00431334,0.000140925,0,0,0.086737,0.947883,144,44,0.409722,0,0,0,0.00874317,0.824044,0.167213,0,0,0
1,bookshelf_tall,58,qpEnvelope,1,1,0.00755955,484,20,10.5657,613,613,0,0.000886511,0.000140925,0,0,0.0398486,0.599174,5,5,4,0,0,0,0.396694,0.56405,0.0392562,484,148635,471
1,bookshelf_tall,83,isSafe,1,1,0.0463093,8928,45,13.6445,8,684,0,0.000807547,0.00249477,0,0,0,0,212,42,0.212264,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,83,qpFixed,1,1,0.0149052,1136,12,8.71772,710,710,0,0.00684532,0.00249477,0,0,0.0108232,0,4,3,3,0,0,0,1,0,0,1132,332551,506
1,bookshelf_tall,83,qpPlain,1,1,0.0152923,1136,12,8.71772,710,710,0,0.00684532,0.00249477,0,0,0.0108232,0,4,3,3,0,0,0,1,0,0,1132,388276,1132
1,bookshelf_tall,83,qpAdaptive,1,1,0.00571229,379,12,8.72088,479,479,0,0.00684532,0.00249477,0,0,0.0324955,0.240106,4,3,3,0,0,0,0.749333,0.229333,0.0213333,375,113820,332
1,bookshelf_tall,83,qpFreeGate,1,1,0.0384244,5258,31,8.53667,924,924,0,0.00367339,0.00249477,0,0,0.00523965,0,38,14,0.815789,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,83,qpFreeEnvelope,1,1,0.00162967,80,10,8.77116,473,473,0,0.000296154,0.00249477,0,0,0.121862,0.975,4,4,2.5,0,0,0,0.025,0.85,0.125,0,0,0
1,bookshelf_tall,83,qpEnvelope,1,1,0.00467275,289,12,8.73401,451,451,0,0.00684532,0.00249477,0,0,0.0427847,0.138408,4,3,3,0,0,0,0.852632,0.119298,0.0280702,285,86145,269
1,bookshelf_thin,9,isSafe,1,1,0.0178629,2798,14,9.80833,6,492,0,0.00627968,0.00249477,0,0,0,0,38,11,0.368421,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,9,qpFixed,1,1,0.00577811,370,12,6.01707,371,371,0,0.00627968,0.00249477,0,0,0.0162624,0,1,1,12,0,0,0,1,0,0,370,88374,208
1,bookshelf_thin,9,qpPlain,1,1,0.00607666,370,12,6.01707,371,371,0,0.00627968,0.00249477,0,0,0.0162624,0,1,1,12,0,0,0,1,0,0,370,126910,370
1,bookshelf_thin,9,qpAdaptive,1,1,0.00154584,85,12,6.02366,344,344,0,0.00627968,0.00249477,0,0,0.0708666,0.705882,1,1,12,0,0,0,0.247059,0.635294,0.117647,85,21286,60
1,bookshelf_thin,9,qpFreeGate,1,1,0.0550563,6356,16,8.69497,716,716,0,0.00627968,0.00249477,0,0,0.00435498,0,38,12,0.421053,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,9,qpFreeEnvelope,1,1,0.00995571,407,15,8.88561,458,458,0,0.00627968,0.00249477,0,0,0.0637578,0.953317,38,11,0.394737,0,0,0,0.034398,0.857494,0.108108,0,0,0
1,bookshelf_thin,9,qpEnvelope,1,1,0.000824918,46,14,6.07231,326,326,0,0.00627968,0.00249477,0,0,0.132007,0.565217,1,1,14,0,0,0,0.369565,0.369565,0.26087,46,11435,37
1,bookshelf_thin,33,isSafe,1,1,0.0114073,1809,11,11.5524,7,579,0,0.00670894,0.00249477,0,0,0,0,29,7,0.37931,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,33,qpFixed,1,1,0.0421685,2552,18,13.2964,1114,1114,0,0.000449031,0.00249477,0,0,0.00891131,0,7,6,2.57143,0,0,0,1,0,0,2551,715519,2220
1,bookshelf_thin,33,qpPlain,1,1,0.0429758,2552,18,13.2964,1114,1114,0,0.000449031,0.00249477,0,0,0.00891131,0,7,6,2.57143,0,0,0,1,0,0,2551,874993,2551
1,bookshelf_thin,33,qpAdaptive,1,1,0.0257632,1489,18,13.3313,883,883,0,0.000449031,0.00249477,0,0,0.015327,0.433848,7,6,2.57143,0,0,0,0.565188,0.426747,0.00806452,1488,427493,1432
1,bookshelf_thin,33,qpFreeGate,1,1,0.0597104,6633,21,16.2099,1458,1458,0,0.00500915,0.00249477,0,0,0.00489497,0,48,16,0.4375,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,33,qpFreeEnvelope,1,1,0.0330478,402,18,12.3043,633,633,0,0.00677976,0.00249477,0,0,0.0707046,0.977612,56,14,0.321429,0,0,0,0.00997506,0.845387,0.144638,0,0,0
1,bookshelf_thin,33,qpEnvelope,1,1,0.0175765,967,17,13.769,813,813,0,0.000404759,0.00249477,0,0,0.0235093,0.358842,7,6,2.42857,0,0,0,0.63909,0.34333,0.0175801,967,270449,940
1,bookshelf_thin,57,isSafe,1,1,0.132959,20271,88,13.3445,8,669,0,0.00138719,0.00249477,0,0,0,0,358,85,0.24581,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,57,qpFixed,1,1,0.0167223,1007,9,8.58838,648,648,0,0.002456,0.00249477,0,0,0.0119804,0,2,2,4.5,0,0,0,1,0,0,1007,261339,390
1,bookshelf_thin,57,qpPlain,1,1,0.0173403,1007,9,8.58838,648,648,0,0.002456,0.00249477,0,0,0.0119804,0,2,2,4.5,0,0,0,1,0,0,1007,345401,1007
1,bookshelf_thin,57,qpAdaptive,1,1,0.0082919,419,9,8.58773,460,460,0,0.002456,0.00249477,0,0,0.0288052,0.162291,2,2,4.5,0,0,0,0.837709,0.150358,0.0119332,419,108716,381
1,bookshelf_thin,57,qpFreeGate,1,1,0.339376,37505,129,14.3228,1189,1189,0,0.000615447,0.00249477,0,0,0.00579972,0,373,125,0.345845,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,57,qpFreeEnvelope,1,1,0.0734293,3019,121,14.4006,746,746,0,0.000359591,0.00249477,0,0,0.0686126,0.945015,373,117,0.324397,0,0,0,0.0394122,0.887108,0.0734803,0,0,0
1,bookshelf_thin,57,qpEnvelope,1,1,0.00607259,315,9,8.58347,443,443,0,0.002456,0.00249477,0,0,0.0383141,0.133333,2,2,4.5,0,0,0,0.863492,0.11746,0.0190476,315,80308,301
1,bookshelf_thin,82,isSafe,1,1,0.0914621,14272,71,16.0845,10,806,0,0.00831549,0.00249477,0,0,0,0,241,67,0.294606,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,82,qpFixed,1,1,0.0138176,889,8,10.3011,886,886,0,0.00172773,0.00249477,0,0,0.0115873,0,2,2,4,0,0,0,1,0,0,887,245034,192
1,bookshelf_thin,82,qpPlain,1,1,0.014386,889,8,10.3011,886,886,0,0.00172773,0.00249477,0,0,0.0115873,0,2,2,4,0,0,0,1,0,0,887,304241,887
1,bookshelf_thin,82,qpAdaptive,1,1,0.00376399,221,8,10.3356,632,632,0,0.000570804,0.00249477,0,0,0.0467674,0.533937,2,2,4,0,0,0,0.461187,0.515982,0.0228311,219,65437,151
1,bookshelf_thin,82,qpFreeGate,1,1,0.0781181,8840,34,15.6706,1299,1299,0,0.00264358,0.00249477,0,0,0.00585118,0,68,29,0.5,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,82,qpFreeEnvelope,1,1,0.0170845,461,33,15.8504,818,818,0,0.000329756,0.00249477,0,0,0.111312,0.960954,68,28,0.485294,0,0,0,0.0261438,0.808279,0.165577,0,0,0
1,bookshelf_thin,82,qpEnvelope,1,1,0.00169256,87,8,10.3167,558,558,0,0.00048561,0.00249477,0,0,0.118641,0.482759,2,2,4,0,0,0,0.511628,0.430233,0.0581395,86,25395,56
1,table_under_pick,6,isSafe,1,1,0.00574326,1530,9,13.099,8,656,0,0.000959834,0.000617218,0,0,0,0,23,3,0.391304,0,0,0,0,0,0,0,0,0
1,table_under_pick,6,qpFixed,1,1,0.00570773,536,14,9.4296,537,537,0,0.00748313,0.00249477,0,0,0.0175925,0,1,1,14,0,0,0,1,0,0,536,143644,172
1,table_under_pick,6,qpPlain,1,1,0.00579476,536,14,9.4296,537,537,0,0.00748313,0.00249477,0,0,0.0175925,0,1,1,14,0,0,0,1,0,0,536,183848,536
1,table_under_pick,6,qpAdaptive,1,1,0.00124178,114,15,9.42791,536,536,0,0.00748325,0.00249477,0,0,0.082701,0.894737,1,1,15,0,0,0,0.0614035,0.824561,0.114035,114,33418,53
