scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,520,3.4874720000000003,5.9002,11.7046,44.910275,357.50630000000086,7.0,10.0,18.0,60.0,617.8000000000006,1994.9,3216.5,6441.0,23305.75,203257.6000000001
all scenes,qp-fixed,520,0.3291743,0.4553865,0.8699525,2.4791125000000003,11.69281,6.0,7.0,10.0,22.0,78.40000000000009,45.0,64.0,108.5,300.0,1642.9000000000015
all scenes,qp-lipsch,520,0.2396691,0.35550024999999996,0.7597700000000001,2.3984275,11.561610000000009,6.0,7.0,10.0,22.0,75.30000000000007,36.900000000000006,48.0,98.5,287.75,1434.9000000000037
all scenes,qp-free,463,2.19394,4.249639999999999,9.595690000000001,25.95195,270.97140000000013,23.0,41.0,89.0,223.0,2139.0000000000014,359.6,648.0,1495.0,3909.0,37076.20000000002
all scenes,qp-envelope,520,0.2374679,0.33055524999999997,0.721612,2.2572574999999997,11.6368,6.0,7.0,10.0,23.0,70.40000000000009,26.0,35.75,86.0,262.25,1298.1000000000004
bookshelf_small,rrtconnect,57,2.82511,3.69741,15.907999999999998,37.683800000000005,93.38445999999995,6.0,8.0,23.0,46.0,135.59999999999997,1485.0,2365.0,8165.0,17891.0,52215.59999999999
bookshelf_small,qp-fixed,57,0.2878488,0.374341,0.561014,0.8985920000000001,2.327104,5.6000000000000005,6.0,7.0,11.0,19.0,42.2,49.0,70.0,123.0,244.39999999999998
bookshelf_small,qp-lipsch,57,0.2054416,0.289205,0.426003,0.867162,2.352159999999999,5.6000000000000005,6.0,7.0,11.0,19.0,36.2,43.0,57.0,109.0,238.79999999999995
bookshelf_small,qp-free,57,1.0658044,2.37028,10.927299999999999,27.4419,88.06566,12.0,31.0,92.0,212.0,674.0,146.20000000000002,440.0,1567.0,3753.0,12137.199999999999
bookshelf_small,qp-envelope,57,0.203512,0.287338,0.41147599999999995,0.751475,2.2932539999999997,5.6000000000000005,6.0,7.0,11.0,18.4,22.6,34.0,43.0,97.0,213.99999999999994
bookshelf_tall,rrtconnect,46,3.619375,6.325675,15.2452,42.84375,90.5215,8.5,10.5,24.0,60.0,129.0,2305.0,3327.5,8967.0,22811.75,49503.5
bookshelf_tall,qp-fixed,46,0.3935535,0.7945015000000001,1.1841650000000001,2.0766924999999996,4.13202,6.0,9.0,13.5,21.0,26.5,48.5,98.25,152.0,285.25,423.0
bookshelf_tall,qp-lipsch,46,0.334092,0.6793625000000001,1.064105,1.92231,3.699875,6.0,9.0,14.0,21.0,26.5,45.5,88.0,135.5,271.5,356.5
bookshelf_tall,qp-free,46,2.12683,3.3886925,8.086129999999999,19.017375,49.78265,19.5,37.25,85.0,195.25,382.5,313.5,646.25,1473.0,3539.25,7108.0
bookshelf_tall,qp-envelope,46,0.324469,0.664716,1.059285,1.9277,4.120895,6.5,9.0,15.5,21.0,27.0,40.5,73.25,138.0,242.25,384.0
bookshelf_thin,rrtconnect,60,5.903904,11.16115,19.921599999999998,33.749,79.00750000000001,9.9,17.0,28.5,53.5,107.80000000000004,3245.7000000000003,6298.75,10289.0,20585.75,40921.70000000001
bookshelf_thin,qp-fixed,60,0.352111,0.45717825,0.672353,1.5655725,2.1418640000000004,6.0,6.0,8.0,14.0,17.0,46.8,58.0,80.5,179.5,253.80000000000004
bookshelf_thin,qp-lipsch,60,0.2669123,0.35700425,0.6200125,1.463325,2.048461,6.0,6.0,8.0,12.25,17.0,36.8,47.75,70.5,161.75,229.50000000000003
bookshelf_thin,qp-free,60,5.561262,10.35765,20.098950000000002,41.443175,78.55906000000002,52.8,93.75,195.5,350.0,740.8000000000003,849.7,1591.75,3381.0,6398.0,12830.400000000005
bookshelf_thin,qp-envelope,60,0.26601779999999997,0.33426225,0.55622,1.376275,1.9778060000000002,6.0,6.0,8.0,14.0,17.1,27.0,35.75,61.0,143.5,217.3
box,rrtconnect,100,3.487262,5.533935,8.760755,13.339675,20.07776,7.0,10.0,13.5,22.25,29.0,1960.2,3180.0,4501.5,7987.5,10578.100000000002
box,qp-fixed,100,0.29344570000000003,0.418812,0.588642,1.1877825,1.6957530000000003,6.0,6.0,7.0,13.0,18.0,43.0,47.75,69.5,137.75,200.2000000000001
box,qp-lipsch,100,0.22369440000000002,0.29480074999999994,0.4721685,1.0301925,1.5419810000000003,6.0,6.0,7.5,13.0,18.0,34.0,41.0,58.5,131.25,181.30000000000013
box,qp-free,100,2.409641,4.1029225,5.300435,9.7549875,14.31955,26.0,39.75,59.5,85.75,132.20000000000002,372.3,611.5,929.5,1448.0,2242.100000000001
box,qp-envelope,100,0.2396036,0.3050625,0.42935900000000005,0.939166,1.4917610000000001,6.0,6.0,7.5,13.0,18.0,26.9,31.0,45.0,112.0,161.70000000000005
cage,rrtconnect,99,67.40132,137.61700000000002,392.621,836.616,1418.776,104.6,208.0,656.0,1411.5,2868.6000000000004,39474.6,76949.5,212678.0,407283.0,746952.0000000001
cage,qp-fixed,99,2.63817,5.09155,12.4309,22.387900000000002,29.653140000000008,23.000000000000004,41.0,83.0,125.0,149.0,314.2,714.5,1750.0,2836.5,3541.6
cage,qp-lipsch,99,2.473672,5.27297,11.952499999999999,21.6398,30.510200000000008,23.000000000000004,41.0,82.0,125.0,149.0,303.6,688.0,1661.0,2784.5,3481.2000000000003
cage,qp-free,42,680.1299,1254.8775,2620.2250000000004,5361.682500000001,7714.023999999999,5546.6,9371.5,16812.0,28410.75,38474.7,95298.8,158055.75,270371.0,447349.75,604320.2999999999
cage,qp-envelope,99,2.3622140000000003,4.685465,11.6998,20.97505,29.491960000000006,23.000000000000004,39.5,77.0,125.0,149.2,262.8,617.5,1512.0,2537.5,3405.2000000000003
