seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,2,isSafe,1,1,0.0286308,19286,49,19.9482,11,999,0,0.00110814,0.00249477,0,0,0,0,324,46,0.151235,0,0,0,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00147945,218,21,16.8278,914,914,0,0.000165545,0.00249477,0,0,0.101519,0,5,5,4.2,0,0,0,1,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.00145659,213,22,17.0982,924,924,0,0.000165545,0.00249477,0,0,0.105108,0.0610329,5,5,4.4,0,0,0,0.920188,0.0610329,0.0187793
1,bookshelf_tall,2,qpFreeGate,1,1,0.00754,1554,85,22.5908,1229,1229,0,0.00931366,0.00249477,0,0,0.0847745,0,532,82,0.159774,0,0,0,1,0,0
1,bookshelf_tall,2,qpEnvelope,1,1,0.00132992,203,23,17.0074,916,916,0,0.000165545,0.00249477,0,0,0.109967,0.0394089,5,5,4.6,0,0,0,0.935961,0.0344828,0.0295567
1,bookshelf_tall,9,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,16,isSafe,1,0,10.0001,4946838,28403,0,0,0,0,inf,inf,0,0,0,0,235985,28401,0.120359,0,0,0,0,0,0
1,bookshelf_tall,16,qpFixed,1,0,10.0002,1316522,20387,0,0,0,0,inf,inf,0,0,0.0416692,0,66145,20253,0.308217,0,0,0,1,0,0
1,bookshelf_tall,16,qpAdaptive,1,0,10.0002,1235261,19275,0,0,0,0,inf,inf,0,0,0.042175,0.0133656,62103,19140,0.310371,0,0,0,0.984819,0.0124468,0.00273384
1,bookshelf_tall,16,qpFreeGate,1,0,10,669459,46615,0,0,0,0,inf,inf,0,0,0.0487583,0,401591,46613,0.116076,0,0,0,1,0,0
1,bookshelf_tall,16,qpEnvelope,1,0,10.0002,1209851,19425,0,0,0,0,inf,inf,0,0,0.0433618,0.0132611,62611,19288,0.310249,0,0,0,0.985417,0.00923009,0.00535274
1,bookshelf_tall,25,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,32,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,32,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,32,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,32,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,32,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,39,isSafe,1,0,10.0001,5026057,28996,0,0,0,0,inf,inf,0,0,0,0,256089,28994,0.113226,0,0,0,0,0,0
1,bookshelf_tall,39,qpFixed,1,0,10.0002,1324066,20332,0,0,0,0,inf,inf,0,0,0.0412792,0,66678,20189,0.304928,0,0,0,1,0,0
1,bookshelf_tall,39,qpAdaptive,1,0,10,1262436,19514,0,0,0,0,inf,inf,0,0,0.0416915,0.0117907,63683,19371,0.306424,0,0,0,0.986643,0.0110034,0.0023534
1,bookshelf_tall,39,qpFreeGate,1,0,10,677577,45086,0,0,0,0,inf,inf,0,0,0.0462949,0,418842,45084,0.107644,0,0,0,1,0,0
1,bookshelf_tall,39,qpEnvelope,1,0,10,1214910,19292,0,0,0,0,inf,inf,0,0,0.0428544,0.0131014,62854,19148,0.306934,0,0,0,0.985656,0.00953163,0.00481273
1,bookshelf_tall,46,isSafe,1,1,0.00817998,5314,15,12.9151,8,647,0,0.00299088,0.00249477,0,0,0,0,44,11,0.340909,0,0,0,0,0,0
1,bookshelf_tall,46,qpFixed,1,1,0.000223141,38,6,5.97937,316,316,0,0.00299088,0.00249477,0,0,0.157352,0,1,1,6,0,0,0,1,0,0
1,bookshelf_tall,46,qpAdaptive,1,1,0.000170563,31,6,5.97937,317,317,0,0.00299088,0.00249477,0,0,0.192883,0.451613,1,1,6,0,0,0,0.451613,0.451613,0.0967742
