seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,isSafe,1,1,0.003664,2167,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.000650404,99,9,10.8702,577,577,0,0.00785175,0.00249477,0,0,0.130152,0,2,2,4.5,0,0,0,1,0,0
1,bookshelf_tall,1,qpAdaptive,1,1,0.000608639,97,9,10.8784,580,580,0,0.00785175,0.00249477,0,0,0.13304,0.123711,2,2,4.5,0,0,0,0.865979,0.123711,0.0103093
1,bookshelf_tall,1,qpFreeGate,1,1,0.00356179,728,48,16.3886,868,868,0,0.00785175,0.00249477,0,0,0.0996966,0,180,44,0.266667,0,0,0,1,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.000518221,73,9,10.8811,570,570,0,0.00785175,0.00249477,0,0,0.176808,0.246575,2,2,4.5,0,0,0,0.726027,0.232877,0.0410959
1,bookshelf_tall,8,isSafe,1,1,0.00888721,6237,18,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.000950378,145,12,12.2933,659,659,5,-0.00909321,0.00249477,0,0,0.11717,0,2,2,6,0,0,0,1,0,0
1,bookshelf_tall,8,qpAdaptive,1,1,0.000940505,145,12,12.2933,658,658,5,-0.00909321,0.00249477,0,0,0.11717,0.0413793,2,2,6,0,0,0,0.951724,0.0413793,0.00689655
1,bookshelf_tall,8,qpFreeGate,1,1,0.0145703,2895,166,18.4898,987,987,0,0.00427847,0.00249477,0,0,0.0879308,0,916,163,0.181223,0,0,0,1,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.000843941,109,12,12.2933,641,641,5,-0.00909321,0.00249477,0,0,0.155868,0.110092,2,2,6,0,0,0,0.87156,0.0917431,0.0366972
1,bookshelf_tall,15,isSafe,1,1,0.0687983,44046,118,16.3734,10,820,0,0.00376763,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.00210497,326,21,14.8394,829,829,0,0.00371977,0.00249477,0,0,0.101898,0,9,8,2.33333,0,0,0,1,0,0
1,bookshelf_tall,15,qpAdaptive,1,1,0.00196744,300,21,14.8397,802,802,0,0.00371977,0.00249477,0,0,0.110733,0.116667,9,8,2.33333,0,0,0,0.873333,0.11,0.0166667
1,bookshelf_tall,15,qpFreeGate,1,1,0.0306168,6074,346,19.9028,1067,1067,0,0.00775893,0.00249477,0,0,0.0785179,0,2268,343,0.152557,0,0,0,1,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.00188324,263,21,14.6667,780,780,0,0.00371977,0.00249477,0,0,0.126173,0.114068,9,8,2.33333,0,0,0,0.874525,0.102662,0.0228137
1,bookshelf_tall,23,isSafe,1,1,0.00388451,2909,10,10.1824,7,511,0,0.00392397,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.000589196,90,8,8.55891,457,457,0,0.00824879,0.00249477,0,0,0.121679,0,2,2,4,0,0,0,1,0,0
1,bookshelf_tall,23,qpAdaptive,1,1,0.000553597,88,8,8.55891,457,457,0,0.00824879,0.00249477,0,0,0.124445,0.125,2,2,4,0,0,0,0.852273,0.125,0.0227273
1,bookshelf_tall,23,qpFreeGate,1,1,0.00354428,719,38,12.4403,653,653,0,0.00824879,0.00249477,0,0,0.0857972,0,236,35,0.161017,0,0,0,1,0,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.000449587,72,8,8.55891,450,450,0,0.00824879,0.00249477,0,0,0.152099,0.125,2,2,4,0,0,0,0.861111,0.0972222,0.0416667
1,bookshelf_tall,31,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,52,isSafe,1,1,0.107039,68715,191,10.1278,7,508,0,0.00334816,0.00249477,0,0,0,0,1556,187,0.122751,0,0,0,0,0,0
1,bookshelf_tall,52,qpFixed,1,1,0.000949362,143,13,10.7694,586,586,0,0.00359941,0.00249477,0,0,0.101942,0,3,3,4.33333,0,0,0,1,0,0
1,bookshelf_tall,52,qpAdaptive,1,1,0.000850481,125,13,10.7694,585,585,0,0.00359941,0.00249477,0,0,0.116573,0.152,3,3,4.33333,0,0,0,0.84,0.136,0.024
1,bookshelf_tall,52,qpFreeGate,1,1,0.0193412,3864,223,29.78,1602,1602,0,0.00706237,0.00249477,0,0,0.0841555,0,1261,217,0.176844,0,0,0,1,0,0
1,bookshelf_tall,52,qpEnvelope,1,1,0.000783685,113,13,10.7694,577,577,0,0.00359941,0.00249477,0,0,0.128989,0.150442,3,3,4.33333,0,0,0,0.831858,0.132743,0.0353982
1,bookshelf_tall,59,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,66,isSafe,1,1,0.0144348,9251,25,17.3433,10,869,0,0.00336209,0.00249477,0,0,0,0,101,20,0.247525,0,0,0,0,0,0
1,bookshelf_tall,66,qpFixed,1,1,0.00192551,292,17,13.7981,752,752,0,0.00270571,0.00249477,0,0,0.0830318,0,6,6,2.83333,0,0,0,1,0,0
1,bookshelf_tall,66,qpAdaptive,1,1,0.00182464,276,17,13.8019,755,755,0,0.00270571,0.00249477,0,0,0.0878739,0.0869565,6,6,2.83333,0,0,0,0.902174,0.0869565,0.0108696
1,bookshelf_tall,66,qpFreeGate,1,1,0.00250354,510,35,15.2546,833,833,0,0.00336209,0.00249477,0,0,0.105547,0,101,30,0.346535,0,0,0,1,0,0
1,bookshelf_tall,66,qpEnvelope,1,1,0.00166897,249,17,13.8217,744,744,0,0.00270571,0.00249477,0,0,0.0976053,0.0883534,6,6,2.83333,0,0,0,0.899598,0.0803213,0.0200803
1,bookshelf_tall,74,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,88,isSafe,1,1,0.00238023,1620,6,7.88448,5,396,0,0.004933,0.00249477,0,0,0,0,24,3,0.25,0,0,0,0,0,0
1,bookshelf_tall,88,qpFixed,1,1,0.00136309,185,16,14.0857,763,763,0,0.00702494,0.00249477,0,0,0.0978209,0,5,5,3.2,0,0,0,1,0,0
1,bookshelf_tall,88,qpAdaptive,1,1,0.00137188,185,16,14.0857,763,763,0,0.00702494,0.00249477,0,0,0.0978209,0,5,5,3.2,0,0,0,0.994595,0,0.00540541
1,bookshelf_tall,88,qpFreeGate,1,1,0.00206169,418,27,8.516,466,466,0,0.00881729,0.00249477,0,0,0.0929206,0,124,19,0.217742,0,0,0,1,0,0
1,bookshelf_tall,88,qpEnvelope,1,1,0.00125419,183,16,14.0879,763,763,0,0.00702852,0.00249477,0,0,0.098781,0.0163934,5,5,3.2,0,0,0,0.972678,0.010929,0.0163934
1,bookshelf_tall,96,isSafe,1,1,0.0278741,18302,47,17.8051,10,892,0,0.00439468,0.00249477,0,0,0,0,230,44,0.204348,0,0,0,0,0,0
1,bookshelf_tall,96,qpFixed,1,1,0.00188277,306,21,18.1227,995,995,0,0.00341668,0.00249477,0,0,0.0882926,0,6,6,3.5,0,0,0,1,0,0
1,bookshelf_tall,96,qpAdaptive,1,1,0.00180324,291,21,18.1329,997,997,0,0.00341489,0.00249477,0,0,0.093026,0.0687285,6,6,3.5,0,0,0,0.924399,0.0652921,0.0103093
1,bookshelf_tall,96,qpFreeGate,1,1,0.00549114,1082,68,21.4475,1153,1153,0,0.00567081,0.00249477,0,0,0.0981571,0,252,64,0.269841,0,0,0,1,0,0
1,bookshelf_tall,96,qpEnvelope,1,1,0.00174697,262,25,18.155,981,981,0,0.00342409,0.00249477,0,0,0.107057,0.0992366,6,6,4.16667,0,0,0,0.885496,0.0877863,0.0267176
1,bookshelf_thin,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,4,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,4,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,4,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,4,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,11,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,11,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,11,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,11,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,11,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,18,isSafe,1,1,0.0131703,8563,23,17.2969,10,866,0,0.00109629,0.00249477,0,0,0,0,140,19,0.164286,0,0,0,0,0,0
1,bookshelf_thin,18,qpFixed,1,1,0.00101037,152,14,12.9859,704,704,0,0.00410904,0.00249477,0,0,0.105411,0,2,2,7,0,0,0,1,0,0
1,bookshelf_thin,18,qpAdaptive,1,1,0.0011841,172,15,15.0443,807,807,0,0.00410924,0.00249477,0,0,0.111432,0.0697674,3,3,5,0,0,0,0.924419,0.0697674,0.00581395
1,bookshelf_thin,18,qpFreeGate,1,1,0.0563948,11283,648,15.3579,843,843,0,0.00865497,0.00249477,0,0,0.0784347,0,4390,645,0.147608,0,0,0,1,0,0
1,bookshelf_thin,18,qpEnvelope,1,1,0.00101788,150,20,13.0556,707,707,0,0.00216077,0.00249477,0,0,0.10729,0.0266667,2,2,10,0,0,0,0.94,0.0266667,0.0333333
1,bookshelf_thin,25,isSafe,1,1,0.0592437,38313,97,16.3768,10,820,0,0.00563466,0.00249477,0,0,0,0,750,93,0.129333,0,0,0,0,0,0
1,bookshelf_thin,25,qpFixed,1,1,0.00186052,283,16,13.8476,749,749,0,0.00336587,0.00249477,0,0,0.0954674,0,8,6,2,0,0,0,1,0,0
1,bookshelf_thin,25,qpAdaptive,1,1,0.00174986,266,16,13.8569,743,743,0,0.00336587,0.00249477,0,0,0.101603,0.150376,8,6,2,0,0,0,0.845865,0.142857,0.0112782
1,bookshelf_thin,25,qpFreeGate,1,1,0.0114356,2354,136,14.8303,793,793,0,0.00563466,0.00249477,0,0,0.0875783,0,808,132,0.168317,0,0,0,1,0,0
1,bookshelf_thin,25,qpEnvelope,1,1,0.00163746,230,16,13.8683,735,735,0,0.00336587,0.00249477,0,0,0.117549,0.0956522,8,6,2,0,0,0,0.895652,0.0826087,0.0217391
1,bookshelf_thin,32,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,32,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,32,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,32,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,32,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,39,isSafe,1,1,0.0306909,19423,51,18.1711,11,910,0,0.0018002,0.00249477,0,0,0,0,294,47,0.173469,0,0,0,0,0,0
1,bookshelf_thin,39,qpFixed,1,1,0.000379647,59,6,7.25948,398,398,0,0.00395386,0.00249477,0,0,0.123042,0,1,1,6,0,0,0,1,0,0
1,bookshelf_thin,39,qpAdaptive,1,1,0.000309733,50,6,7.25948,392,392,0,0.00395386,0.00249477,0,0,0.14519,0.22,1,1,6,0,0,0,0.74,0.22,0.04
1,bookshelf_thin,39,qpFreeGate,1,1,0.0525163,10583,603,18.9241,1001,1001,0,0.00397567,0.00249477,0,0,0.0798663,0,3920,598,0.153827,0,0,0,1,0,0
1,bookshelf_thin,39,qpEnvelope,1,1,0.000306244,41,6,7.25948,387,387,0,0.00395386,0.00249477,0,0,0.17706,0.195122,1,1,6,0,0,0,0.780488,0.146341,0.0731707
1,bookshelf_thin,46,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,46,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,46,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,46,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,46,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,53,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,53,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,53,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,53,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,53,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,60,isSafe,1,1,0.0098492,6365,18,8.93351,6,448,0,0.00174458,0.00249477,0,0,0,0,65,14,0.276923,0,0,0,0,0,0
1,bookshelf_thin,60,qpFixed,1,1,0.0010589,159,10,7.90574,411,411,0,0.00381132,0.00249477,0,0,0.0972494,0,5,4,2,0,0,0,1,0,0
1,bookshelf_thin,60,qpAdaptive,1,1,0.000878279,132,10,7.90574,415,415,0,0.00381132,0.00249477,0,0,0.117077,0.19697,5,4,2,0,0,0,0.780303,0.189394,0.030303
1,bookshelf_thin,60,qpFreeGate,1,1,0.0083076,1628,101,14.6733,779,779,0,0.00665182,0.00249477,0,0,0.0966281,0,411,95,0.245742,0,0,0,1,0,0
1,bookshelf_thin,60,qpEnvelope,1,1,0.000773628,108,10,7.90574,412,412,0,0.00381132,0.00249477,0,0,0.143245,0.175926,5,4,2,0,0,0,0.814815,0.12963,0.0555556
1,bookshelf_thin,67,isSafe,1,1,0.312836,192083,537,23.0101,13,1152,0,0.00549887,0.00249477,0,0,0,0,4482,534,0.119813,0,0,0,0,0,0
1,bookshelf_thin,67,qpFixed,1,1,0.000323964,54,6,6.68382,356,356,0,0.00393238,0.00249477,0,0,0.123774,0,1,1,6,0,0,0,1,0,0
1,bookshelf_thin,67,qpAdaptive,1,1,0.000258833,44,6,6.68382,355,355,0,0.00393238,0.00249477,0,0,0.151905,0.363636,1,1,6,0,0,0,0.568182,0.363636,0.0681818
1,bookshelf_thin,67,qpFreeGate,1,1,0.184666,32913,1991,14.4123,769,769,0,0.00549887,0.00249477,0,0,0.0717207,0,14324,1987,0.138997,0,0,0,1,0,0
1,bookshelf_thin,67,qpEnvelope,1,1,0.00028387,32,6,6.68382,350,350,0,0.00393238,0.00249477,0,0,0.208869,0.28125,1,1,6,0,0,0,0.6875,0.21875,0.09375
1,bookshelf_thin,74,isSafe,1,1,0.0351578,22915,59,18.3173,11,917,0,0.0048054,0.00249477,0,0,0,0,330,55,0.178788,0,0,0,0,0,0
1,bookshelf_thin,74,qpFixed,1,1,0.000265046,47,6,5.667,320,320,0,0.00705493,0.00249477,0,0,0.120574,0,1,1,6,0,0,0,1,0,0
