scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,qp-fixed,520,2.607529,3.6406799999999997,7.686135,28.991,102.782,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006
all scenes,qp-lipsch,520,0.7915811,1.4665374999999998,4.946485,22.331075000000002,92.18809,6.0,7.0,12.0,29.0,85.0,114.80000000000001,212.25,651.0,2854.5,12372.2
all scenes,qp-envelope,520,0.5525498,0.96263275,3.4090249999999997,14.113949999999999,80.71079000000007,6.0,7.0,12.0,28.25,85.20000000000005,56.900000000000006,113.75,428.5,1778.75,9484.900000000009
bookshelf_small,qp-fixed,57,2.551054,3.4085500000000004,4.83833,11.0662,32.81406,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999
bookshelf_small,qp-lipsch,57,0.6458838,1.50781,2.4405799999999997,6.77569,29.10577999999999,5.6000000000000005,6.0,7.0,15.0,31.199999999999996,118.2,231.0,326.0,823.0,3912.7999999999997
bookshelf_small,qp-envelope,57,0.3995648,0.9126810000000001,2.18521,4.864870000000001,19.86452,5.6000000000000005,6.0,7.0,15.0,30.4,45.800000000000004,99.0,233.0,611.0,2563.5999999999995
bookshelf_tall,qp-fixed,46,2.92287,6.5131625,11.2423,26.8677,42.7231,6.0,9.0,17.5,28.5,34.5,468.5,972.5,1715.0,3986.5,5395.5
bookshelf_tall,qp-lipsch,46,1.81635,3.1938125,7.772935,18.53535,35.5617,6.0,9.0,16.0,29.75,34.5,223.0,526.5,1097.0,2697.75,4373.0
bookshelf_tall,qp-envelope,46,0.9467425,2.3540075,5.588595,12.4544,23.362099999999998,6.0,9.0,15.0,26.5,32.5,90.5,280.75,715.5,1286.5,2516.5
bookshelf_thin,qp-fixed,60,2.658054,3.60864,5.57262,14.775549999999999,19.153080000000006,6.0,6.0,9.5,15.0,20.200000000000003,437.4,552.5,845.5,1987.0,2744.4000000000005
bookshelf_thin,qp-lipsch,60,1.137977,1.62597,3.5630800000000002,9.994445,14.45491,6.0,6.0,10.0,15.25,20.200000000000003,138.6,248.75,532.0,1251.5,1872.4000000000003
bookshelf_thin,qp-envelope,60,0.6911790999999999,1.22613,2.96677,8.0471925,12.014640000000004,6.0,6.0,10.0,14.25,20.200000000000003,91.9,191.75,383.0,943.5,1518.9
box,qp-fixed,100,2.128106,2.96786,4.832470000000001,10.397025,18.40922,6.0,6.0,8.0,15.0,23.300000000000026,402.8,448.75,673.5,1452.0,2278.5000000000036
box,qp-lipsch,100,0.9057701,1.1192024999999999,2.19569,5.9396450000000005,13.282280000000005,6.0,6.0,8.0,14.25,27.0,123.8,154.75,303.0,787.75,1584.1000000000033
box,qp-envelope,100,0.5523647,0.73284475,1.2768899999999999,3.60232,8.367706,6.0,6.0,8.0,14.25,25.10000000000001,53.0,80.0,158.0,422.75,952.1000000000003
cage,qp-fixed,99,21.3758,55.03785,115.478,187.97549999999998,273.69320000000005,23.8,45.0,86.0,127.0,175.8,3687.4,7103.5,17033.0,27973.5,43676.6
cage,qp-lipsch,99,14.29876,39.120450000000005,99.7439,183.3675,235.15560000000002,24.0,44.5,87.0,129.0,176.8,2068.4,4866.0,12858.0,22592.0,34008.4
cage,qp-envelope,99,10.125436,27.248199999999997,84.3892,140.113,198.10880000000003,23.8,43.0,93.0,131.5,176.60000000000002,1409.0,3314.0,9856.0,18436.5,27819.4
table_pick,qp-fixed,100,2.104881,2.8346325,4.128535,4.8904275,7.336209000000015,5.0,6.0,7.0,7.0,13.0,399.4,505.5,645.0,737.75,1150.6000000000008
table_pick,qp-lipsch,100,0.5098098,0.6882162500000001,1.0811899999999999,2.4464575,4.605174000000012,5.0,6.0,7.0,7.0,13.100000000000009,72.9,101.0,148.0,332.75,629.4000000000004
table_pick,qp-envelope,100,0.38579549999999996,0.53814275,0.7761595,1.9587225,3.769527000000007,5.0,6.0,7.0,8.0,15.0,44.0,58.75,87.0,262.5,485.9000000000001
table_under_pick,qp-fixed,58,5.298349999999999,8.193455,15.5611,31.62615,52.59538000000002,10.0,12.25,17.0,31.75,49.90000000000001,764.6,1291.75,2112.5,3923.0,7718.200000000001
table_under_pick,qp-lipsch,58,2.9594300000000002,4.812732499999999,12.0953,26.189575,43.57892000000001,10.0,12.25,17.0,31.75,53.0,413.3,734.0,1403.5,3094.0,5838.100000000001
table_under_pick,qp-envelope,58,1.8274400000000002,3.05696,9.323345,18.332949999999997,35.067980000000006,10.0,12.0,17.0,32.75,52.300000000000004,193.1,524.25,1042.5,2293.75,4650.700000000003
