seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,6,isSafe,1,0,10.0002,2768105,30532,0,0,0,0,inf,inf,0,0,0,0,269527,30530,0.11328,0,0,0,0,0,0
1,bookshelf_tall,6,qpFixed,1,0,10.0014,1206631,2348,0,0,0,0,inf,inf,0,0,0.00561333,0,5527,2245,0.424824,0,0,0,1,0,0
1,bookshelf_tall,6,qpAdaptive,1,0,10.0013,1136768,2431,0,0,0,0,inf,inf,0,0,0.00619824,0.0624199,5796,2328,0.419427,0,0,0,0.937277,0.0617312,0.000992288
1,bookshelf_tall,6,qpFreeGate,1,0,10.0005,1165639,16603,0,0,0,0,inf,inf,0,0,0.0118659,0,153699,16601,0.108023,0,0,0,1,0,0
1,bookshelf_tall,6,qpEnvelope,1,0,10.0007,1119936,2503,0,0,0,0,inf,inf,0,0,0.00649928,0.00906391,6013,2400,0.416265,0,0,0,0.990884,0.00804242,0.00107328
1,bookshelf_tall,13,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,21,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
