seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,4,qpFreeEnvelope,1,0,10.0001,589617,40529,0,0,0,0,inf,inf,0,0,0.0546727,0.553139,297867,40527,0.136064,0,0,0,0.00300766,0.785241,0.211751,0,0,0
1,bookshelf_tall,11,qpFreeEnvelope,1,1,0.0288611,2925,69,17.035,915,915,0,0.00607985,0.00249477,0,0,0.0423764,0.954872,318,64,0.216981,0,0,0,0.0241546,0.914079,0.0617667,0,0,0
1,bookshelf_tall,19,qpFreeEnvelope,1,1,0.00182312,165,11,13.006,684,684,0,0.00693697,0.00249477,0,0,0.0954759,0.981818,11,6,1,0,0,0,0.0181818,0.884848,0.0969697,0,0,0
1,bookshelf_tall,27,qpFreeEnvelope,1,0,10,588457,39815,0,0,0,0,inf,inf,0,0,0.0537953,0.558727,293533,39813,0.135641,0,0,0,0.00361994,0.789103,0.207277,0,0,0
1,bookshelf_tall,34,qpFreeEnvelope,1,0,10.0001,652729,42123,0,0,0,0,inf,inf,0,0,0.0505753,0.570546,318475,42121,0.132265,0,0,0,0.00462813,0.795064,0.200307,0,0,0
1,bookshelf_tall,41,qpFreeEnvelope,1,1,0.00574844,530,39,14.9687,810,810,0,0.00125572,0.00249477,0,0,0.0766126,0.916981,34,19,1.14706,0,0,0,0.0775047,0.814745,0.10775,0,0,0
1,bookshelf_tall,48,qpFreeEnvelope,1,0,10,579362,29845,0,0,0,0,inf,inf,0,0,0.048791,0.730229,187672,29843,0.159027,0,0,0,0.00362679,0.871243,0.12513,0,0,0
1,bookshelf_tall,55,qpFreeEnvelope,1,1,0.0315821,3108,87,15.0332,810,810,0,0.00163578,0.00249477,0,0,0.0450555,0.959459,352,78,0.247159,0,0,0,0.0208809,0.888418,0.0907015,0,0,0
1,bookshelf_tall,62,qpFreeEnvelope,1,1,0.0189418,1893,59,18.1345,989,989,0,0.00283255,0.00249477,0,0,0.0526361,0.951928,200,53,0.295,0,0,0,0.0328912,0.896021,0.0710875,0,0,0
1,bookshelf_tall,70,qpFreeEnvelope,1,1,0.0161061,1551,41,22.0767,1195,1195,0,0.00314676,0.00249477,0,0,0.0414066,0.93746,166,34,0.246988,0,0,0,0.0372793,0.890124,0.0725965,0,0,0
1,bookshelf_tall,77,qpFreeEnvelope,1,1,0.023091,2317,62,12.9387,696,696,0,0.00962253,0.00249477,0,0,0.0445834,0.961588,248,57,0.25,0,0,0,0.0177797,0.906331,0.075889,0,0,0
1,bookshelf_tall,84,qpFreeEnvelope,1,1,0.00676612,653,32,13.3863,735,735,0,0.00124436,0.00249477,0,0,0.0556071,0.963247,56,16,0.571429,0,0,0,0.02,0.883077,0.0969231,0,0,0
1,bookshelf_tall,91,qpFreeEnvelope,1,1,0.0241861,2414,75,14.5619,807,807,0,0.0018617,0.00249477,0,0,0.0489546,0.970588,284,67,0.264085,0,0,0,0.00543478,0.920987,0.0735786,0,0,0
