seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00104395,110,9,10.1809,543,543,0,0.00785175,0.00249477,0,0,0.103873,0.954545,7,4,1.28571,0,0,0,0.0454545,0.854545,0.1,0,0,0
1,bookshelf_tall,8,qpFreeEnvelope,1,1,0.00515442,691,29,18.5945,1022,1022,0,0.00427847,0.00249477,0,0,0.0657747,0.94356,40,19,0.725,0,0,0,0.0492754,0.882609,0.0681159,0,0,0
1,bookshelf_tall,15,qpFreeEnvelope,1,1,0.0153074,2093,51,17.4867,937,937,0,0.00135043,0.00249477,0,0,0.0435658,0.973244,188,44,0.271277,0,0,0,0.0172166,0.900526,0.0822573,0,0,0
1,bookshelf_tall,23,qpFreeEnvelope,1,1,0.0029014,406,12,9.73051,611,611,0,0.000740997,0.00249477,0,0,0.0390742,0.908867,20,6,0.6,0,0,0,0.08867,0.859606,0.0517241,0,0,0
1,bookshelf_tall,31,qpFreeEnvelope,1,0,10,813134,48963,0,0,0,0,inf,inf,0,0,0.0467448,0.586643,384343,48961,0.127394,0,0,0,0.00602554,0.800958,0.193017,0,0,0
1,bookshelf_tall,38,qpFreeEnvelope,1,0,10.0001,797726,48502,0,0,0,0,inf,inf,0,0,0.0470707,0.580974,383743,48500,0.126392,0,0,0,0.0038192,0.797845,0.198336,0,0,0
1,bookshelf_tall,45,qpFreeEnvelope,1,0,10,760168,54482,0,0,0,0,inf,inf,0,0,0.054438,0.540579,394602,54480,0.138068,0,0,0,0.00137484,0.776589,0.222036,0,0,0
1,bookshelf_tall,52,qpFreeEnvelope,1,1,0.0174786,2321,71,19.1059,1022,1022,0,0.00196065,0.00249477,0,0,0.0473846,0.97458,243,62,0.292181,0,0,0,0.0108225,0.91645,0.0727273,0,0,0
1,bookshelf_tall,59,qpFreeEnvelope,1,0,10.0001,759305,56161,0,0,0,0,inf,inf,0,0,0.0555715,0.530347,401277,56159,0.139956,0,0,0,0.0015945,0.770626,0.22778,0,0,0
1,bookshelf_tall,66,qpFreeEnvelope,1,1,0.00877198,1261,37,15.4539,796,796,0,0.00336209,0.00249477,0,0,0.051923,0.978588,101,32,0.366337,0,0,0,0.00796178,0.921178,0.0708599,0,0,0
1,bookshelf_tall,74,qpFreeEnvelope,1,0,10,786651,56286,0,0,0,0,inf,inf,0,0,0.0540286,0.54186,406653,56284,0.138413,0,0,0,0.00127816,0.778454,0.220268,0,0,0
1,bookshelf_tall,81,qpFreeEnvelope,1,0,10.0001,794942,54595,0,0,0,0,inf,inf,0,0,0.0522139,0.551669,403107,54593,0.135436,0,0,0,0.00306272,0.782667,0.21427,0,0,0
1,bookshelf_tall,88,qpFreeEnvelope,1,1,0.00349716,480,20,9.10869,507,507,0,0.00298017,0.00249477,0,0,0.0346466,0.897917,27,6,0.740741,0,0,0,0.0895833,0.83125,0.0791667,0,0,0
1,bookshelf_tall,96,qpFreeEnvelope,1,1,0.00685025,891,36,17.8799,956,956,0,0.00528136,0.00249477,0,0,0.0648235,0.974186,77,29,0.467532,0,0,0,0.0146893,0.905085,0.080226,0,0,0
1,bookshelf_thin,4,qpFreeEnvelope,1,0,10.0001,761793,59927,0,0,0,0,inf,inf,0,0,0.058872,0.508555,418287,59925,0.143268,0,0,0,0.000825893,0.757557,0.241617,0,0,0
1,bookshelf_thin,11,qpFreeEnvelope,1,0,10,766773,59844,0,0,0,0,inf,inf,0,0,0.0584422,0.512054,418635,59842,0.14295,0,0,0,0.00110077,0.759499,0.239401,0,0,0
1,bookshelf_thin,18,qpFreeEnvelope,1,1,0.0111295,1556,40,18.6276,978,978,0,0.00563601,0.00249477,0,0,0.0400938,0.960154,154,32,0.25974,0,0,0,0.0176355,0.914435,0.0679295,0,0,0
