scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90,qp_rows_per_call_p10,qp_rows_per_call_p25,qp_rows_per_call_p50,qp_rows_per_call_p75,qp_rows_per_call_p90
all scenes,qp-fixed,520,2.5862990000000003,3.58751,7.610855000000001,28.264225,101.81710000000005,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006,238.49588464696225,250.552340467948,264.44227338365476,276.50374090721414,287.98145664887664
all scenes,qp-lipsch,520,0.7511024000000001,1.4613299999999998,4.77359,21.713375,90.75235000000002,6.0,7.0,12.0,29.0,85.0,114.80000000000001,212.25,651.0,2854.5,12372.2,248.52264957264958,260.8945598820642,273.0084905117332,288.90587397549234,298.37348314606743
all scenes,qp-envelope,520,0.5532091000000001,1.00412,3.3845149999999995,13.95925,79.99947000000002,6.0,7.0,12.0,28.25,85.20000000000005,56.900000000000006,113.75,428.5,1778.75,9484.900000000009,248.66090102297292,260.7277928762449,274.0520673362058,290.2878522107139,299.53983103879847
bookshelf_small,qp-fixed,57,2.3492699999999997,3.2699399999999996,4.94759,11.2275,33.91542,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999,239.67966031089446,253.86010362694302,268.1856946354883,285.1696504688832,296.78243888272607
bookshelf_small,qp-lipsch,57,0.6644932,1.5722500000000001,2.28727,6.76056,30.36725999999999,5.6000000000000005,6.0,7.0,15.0,31.199999999999996,118.2,231.0,326.0,823.0,3912.7999999999997,244.6479427549195,266.49056603773585,287.4633027522936,304.3839765510503,308.08539321388935
bookshelf_small,qp-envelope,57,0.4307654,0.992443,1.9403599999999999,4.72418,20.44794,5.6000000000000005,6.0,7.0,15.0,30.4,45.800000000000004,99.0,233.0,611.0,2563.5999999999995,245.83651870517542,270.11538461538464,290.3089430894309,305.5446025685526,310.2798573975045
bookshelf_tall,qp-fixed,46,2.9947,6.55713,11.2184,27.734775,42.68965,6.0,9.0,17.5,28.5,34.5,468.5,972.5,1715.0,3986.5,5395.5,254.151759432576,261.36361394875627,277.93321773456705,289.49447996246516,296.82124634887134
bookshelf_tall,qp-lipsch,46,1.80563,3.3050375,7.86173,19.0383,35.154849999999996,6.0,9.0,16.0,29.75,34.5,223.0,526.5,1097.0,2697.75,4373.0,259.46429286608685,271.34971432044733,294.5844054580897,304.719593963181,309.673225002226
bookshelf_tall,qp-envelope,46,0.9612645,2.37573,5.754605,11.5421,22.9728,6.0,9.0,15.0,26.5,32.5,90.5,280.75,715.5,1286.5,2516.5,259.95638891184,276.24476952160296,294.5871481165651,303.2234660966097,310.9189753004006
bookshelf_thin,qp-fixed,60,2.7111340000000004,3.491425,5.657665,14.79865,20.409260000000003,6.0,6.0,9.5,15.0,20.200000000000003,437.4,552.5,845.5,1987.0,2744.4000000000005,231.41262876718892,248.08566394992414,261.4961050571226,272.0176550651371,284.90945160872707
bookshelf_thin,qp-lipsch,60,1.094786,1.5136975000000001,3.502985,9.600322499999999,14.584450000000002,6.0,6.0,10.0,15.25,20.200000000000003,138.6,248.75,532.0,1251.5,1872.4000000000003,238.61655930871956,250.53937935460212,261.037373500046,280.95422292303147,292.1420229832241
bookshelf_thin,qp-envelope,60,0.6458178000000001,1.2195325000000001,2.941415,7.3370375,11.842150000000002,6.0,6.0,10.0,14.25,20.200000000000003,91.9,191.75,383.0,943.5,1518.9,235.29039988409158,248.9212407833717,260.2886527772526,278.66535008201674,293.1580575083475
box,qp-fixed,100,2.3235,3.1157825000000003,4.6554850000000005,10.544475,18.481060000000003,6.0,6.0,8.0,15.0,23.300000000000026,402.8,448.75,673.5,1452.0,2278.5000000000036,238.29175307219663,246.86112023934223,258.74969346285513,270.9078058459156,282.5794375802917
box,qp-lipsch,100,0.8358840999999999,1.142445,2.0413,5.72227,12.934460000000005,6.0,6.0,8.0,14.25,27.0,123.8,154.75,303.0,787.75,1584.1000000000033,242.4457373863018,256.93018117543085,271.97081449435643,286.727762349575,294.56077947512733
box,qp-envelope,100,0.5526689,0.753173,1.2950249999999999,3.4500900000000003,8.262217000000003,6.0,6.0,8.0,14.25,25.10000000000001,53.0,80.0,158.0,422.75,952.1000000000003,244.4224824355972,257.4739506355306,273.59508928571427,287.7199059561128,295.4926877470356
cage,qp-fixed,99,21.20058,53.6676,112.471,183.6855,273.19300000000004,23.8,45.0,86.0,127.0,175.8,3687.4,7103.5,17033.0,27973.5,43676.6,260.4257234602666,263.69495711446984,269.24289985052314,273.53276902586856,278.254719092021
cage,qp-lipsch,99,14.356940000000002,38.28789999999999,96.5536,179.66899999999998,230.70080000000002,24.0,44.5,87.0,129.0,176.8,2068.4,4866.0,12858.0,22592.0,34008.4,261.3475113728084,266.2469966186061,270.2852876911872,275.2297352823947,281.79592610090015
cage,qp-envelope,99,9.873522000000001,25.6973,81.7953,134.536,194.77560000000003,23.8,43.0,93.0,131.5,176.60000000000002,1409.0,3314.0,9856.0,18436.5,27819.4,259.1874059049322,265.657202215861,268.774378585086,274.3582282113134,281.52288954006195
table_pick,qp-fixed,100,2.081445,2.75901,3.95904,4.758435,7.058231000000017,5.0,6.0,7.0,7.0,13.0,399.4,505.5,645.0,737.75,1150.6000000000008,228.64088716124942,238.2126902032021,246.12506440212235,264.6182997751763,280.05365262597263
table_pick,qp-lipsch,100,0.4310134,0.6834034999999999,1.038975,2.4197375,4.4265840000000125,5.0,6.0,7.0,7.0,13.100000000000009,72.9,101.0,148.0,332.75,629.4000000000004,255.46405700172667,260.18174667385836,271.93237120322203,287.26319018404905,296.51541218637993
table_pick,qp-envelope,100,0.3657895,0.5217912499999999,0.780243,2.009945,3.6214230000000063,5.0,6.0,7.0,8.0,15.0,44.0,58.75,87.0,262.5,485.9000000000001,255.6170352170352,261.18755980861243,275.0119333427482,290.5647563081848,296.1710590322488
table_under_pick,qp-fixed,58,5.3842550000000005,8.1973475,15.89035,31.771100000000004,54.60216000000002,10.0,12.25,17.0,31.75,49.90000000000001,764.6,1291.75,2112.5,3923.0,7718.200000000001,250.5181264510743,256.930385902865,274.55363275039747,289.93462373729534,297.39883329090753
table_under_pick,qp-lipsch,58,3.08093,4.8196125,11.698550000000001,26.307175,41.579720000000016,10.0,12.25,17.0,31.75,53.0,413.3,734.0,1403.5,3094.0,5838.100000000001,249.67766195228583,261.20843628488456,280.4834486388712,290.74343888776014,296.56647395679516
table_under_pick,qp-envelope,58,1.8773140000000001,3.0998275,9.235955,18.1589,33.86327000000001,10.0,12.0,17.0,32.75,52.300000000000004,193.1,524.25,1042.5,2293.75,4650.700000000003,248.14404005524864,263.51791561836626,279.91488940881175,290.34309636731507,296.18919259024125
