seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,isSafe,1,1,0.0209234,9128,47,15.2502,9,764,0,0.00577893,0.00249477,0,0,0,0,311,42,0.151125,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpFixed,1,1,0.00941103,1053,10,7.33384,594,594,0,0.00265307,0.00249477,0,0,0.0108887,0,2,2,5,0,0,0,1,0,0,1053,298850,961
1,bookshelf_tall,11,qpPlain,1,1,0.00934286,1053,10,7.33384,594,594,0,0.00265307,0.00249477,0,0,0.0108887,0,2,2,5,0,0,0,1,0,0,1053,361179,1053
1,bookshelf_tall,11,qpAdaptive,1,1,0.00763723,783,10,7.32904,544,544,0,0.00265366,0.00249477,0,0,0.0146399,0.256705,2,2,5,0,0,0,0.740741,0.252874,0.0063857,783,231032,755
1,bookshelf_tall,11,qpFreeGate,1,1,0.200939,34128,75,23.2693,2316,2316,0,0.00615429,0.00249477,0,0,0.0037365,0,325,68,0.230769,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,11,qpEnvelope,1,1,0.00608072,586,10,7.34086,503,503,0,0.00264835,0.00249477,0,0,0.0196726,0.167235,2,2,5,0,0,0,0.829352,0.158703,0.0119454,586,175762,571
1,bookshelf_tall,19,isSafe,1,1,0.021061,9311,48,18.5083,11,927,0,0.00623182,0.00249477,0,0,0,0,222,43,0.216216,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,19,qpFixed,1,1,0.0111394,1380,20,11.6779,886,886,0,0.00563495,0.00249477,0,0,0.0122455,0,4,4,5,0,0,0,1,0,0,1380,395791,994
1,bookshelf_tall,19,qpPlain,1,1,0.011609,1380,20,11.6779,886,886,0,0.00563495,0.00249477,0,0,0.0122455,0,4,4,5,0,0,0,1,0,0,1380,473340,1380
1,bookshelf_tall,19,qpAdaptive,1,1,0.00808623,896,18,11.6636,791,791,0,0.00561679,0.00249477,0,0,0.018832,0.21875,4,4,4.5,0,0,0,0.779018,0.205357,0.015625,896,266441,751
1,bookshelf_tall,19,qpFreeGate,1,1,0.0121717,2034,11,12.7975,1019,1019,0,0.00695511,0.00249477,0,0,0.00756081,0,11,6,1,0,0,0,1,0,0,0,0,0
