scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90,qp_rows_per_call_p10,qp_rows_per_call_p25,qp_rows_per_call_p50,qp_rows_per_call_p75,qp_rows_per_call_p90
all scenes,rrtconnect,535,2.063762,3.53979,7.0704,26.3742,205.02380000000005,7.0,10.0,18.0,60.0,611.0,1012.8000000000001,1667.5,3318.0,11961.0,106113.00000000001,,,,,
all scenes,qp-plain,550,2.663225,3.6488025,8.069855,26.043799999999997,91.78922000000004,6.0,7.0,12.0,26.0,77.10000000000002,421.0,624.5,1202.0,3571.25,14008.800000000005,343.0,343.0,343.0,343.0,343.0
all scenes,qp-fixed,550,2.497696,3.509335,7.732395,23.585725,85.86985000000003,6.0,7.0,12.0,26.0,77.10000000000002,421.0,624.5,1202.0,3571.25,14008.800000000005,237.46911096553328,249.61435562959156,263.53939880956824,275.89165489404223,287.9090328821151
all scenes,qp-lipsch,550,0.7255016000000001,1.3827399999999999,4.92675,18.566975,70.29659000000002,6.0,7.0,12.0,27.0,78.10000000000002,111.80000000000001,203.0,648.0,2488.25,10164.800000000007,246.9417600954844,259.8945107746069,272.72727272727275,288.25445079844627,297.81526297303697
all scenes,qp-free,534,8.782251,20.917075,48.491699999999994,162.04425,1314.524,11.0,17.0,30.0,68.75,461.8999999999999,1843.7000000000005,4056.5,9457.0,30406.0,271600.4999999998,,,,,
all scenes,qp-envelope,550,0.5226231,0.901243,3.3671300000000004,13.904525,69.57746000000003,6.0,7.0,11.0,28.0,85.10000000000002,54.0,108.5,419.5,1756.5,8913.900000000003,247.73184310162048,259.8758416574177,273.2180790960452,289.72943389994293,298.5780081989396
bookshelf_small,rrtconnect,62,1.6424360000000002,2.3273775,6.97682,21.90895,47.47128,6.0,8.0,18.5,46.0,124.69999999999996,752.6,1153.0,3415.0,9281.5,25984.89999999999,,,,,
bookshelf_small,qp-plain,65,2.525402,3.38186,5.1016,9.83156,29.19648,5.4,6.0,8.0,14.0,25.0,394.0,479.0,713.0,1312.0,3472.6,343.0,343.0,343.0,343.0,343.0
bookshelf_small,qp-fixed,65,2.345566,3.17626,4.74078,8.96132,27.391160000000003,5.4,6.0,8.0,14.0,25.0,394.0,479.0,713.0,1312.0,3472.6,239.15036190851347,251.5730659025788,264.9135254988914,283.7733537519142,295.88616477186656
bookshelf_small,qp-lipsch,65,0.6088628,1.39278,2.19093,6.25677,28.381600000000006,5.4,6.0,8.0,16.0,30.000000000000007,112.60000000000001,227.0,342.0,758.0,3579.2000000000003,243.70627922750154,260.62719298245617,281.5330396475771,303.0701754385965,307.0887500837957
bookshelf_small,qp-free,62,4.883082,10.329049999999999,36.63085,107.92675,174.7171,7.1000000000000005,12.0,22.0,49.75,67.0,929.0,2572.25,6287.5,19496.0,31747.199999999997,,,,,
bookshelf_small,qp-envelope,65,0.3902084,0.8872869999999999,1.7845199999999999,4.67739,17.374080000000003,5.4,6.0,8.0,13.0,29.400000000000006,41.2,91.0,220.0,515.0,1938.0000000000005,247.4695238095238,263.45390070921985,288.5495049504951,304.7386363636364,309.6093206108378
bookshelf_tall,rrtconnect,51,2.1687600000000002,3.9046499999999997,9.37158,24.52485,52.4039,9.0,11.0,24.0,60.0,138.0,1233.0,1741.0,4559.0,11822.5,27323.0,,,,,
bookshelf_tall,qp-plain,52,2.8087130000000005,6.2352925,12.777750000000001,25.67845,45.09869,6.0,8.0,18.5,26.25,32.0,445.1,886.75,1952.0,3156.0,5161.0,343.0,343.0,343.0,343.0,343.0
bookshelf_tall,qp-fixed,52,2.814953,5.663082500000001,12.53605,23.694825,42.552459999999996,6.0,8.0,18.5,26.25,32.0,445.1,886.75,1952.0,3156.0,5161.0,254.84433164959128,263.8531759841792,278.1352890549941,289.45725605775175,296.02139200668614
bookshelf_tall,qp-lipsch,52,1.456281,2.9063125000000003,9.061375,18.379325,37.026869999999995,6.0,8.0,18.0,27.5,39.699999999999996,188.50000000000003,378.75,1206.0,2436.25,4121.599999999999,262.0478306719534,273.17231712773776,290.82433021806855,301.6025031783334,307.29687919198295
bookshelf_tall,qp-free,51,8.35252,20.39315,44.5278,124.9375,198.95,12.0,17.0,28.0,51.5,74.0,2148.0,4075.0,8403.0,24446.5,38342.0,,,,,
bookshelf_tall,qp-envelope,52,1.015977,1.689905,6.52455,14.056625,30.730579999999993,6.0,8.0,19.0,28.25,39.9,103.4,250.75,810.0,2009.25,3130.7,264.19485724585803,275.3018286951618,290.71581932895515,301.3758173117053,307.41143899074626
bookshelf_thin,rrtconnect,63,3.4440299999999997,6.54359,11.7013,20.753349999999998,44.98376000000004,10.2,17.0,28.0,52.5,103.40000000000003,1741.0,3194.5,5233.0,10619.5,20595.4,,,,,
bookshelf_thin,qp-plain,73,2.694254,3.83109,6.82413,15.1173,25.13591999999998,6.0,7.0,10.0,16.0,22.0,431.6,557.0,860.0,1944.0,2960.2,343.0,343.0,343.0,343.0,343.0
bookshelf_thin,qp-fixed,73,2.605608,3.5600699999999996,6.641850000000001,14.283900000000001,22.174719999999994,6.0,7.0,10.0,16.0,22.0,431.6,557.0,860.0,1944.0,2960.2,231.80408221028836,246.3536804308797,259.6955882352941,271.14141414141415,284.21620912820396
bookshelf_thin,qp-lipsch,73,0.9716419999999999,1.51037,3.86501,9.70628,15.487939999999996,6.0,6.0,10.0,16.0,22.0,137.8,226.0,563.0,1214.0,2285.599999999999,236.64024358249918,249.96039603960395,261.86049488054607,280.3360160965795,291.662218078959
bookshelf_thin,qp-free,63,21.263160000000003,35.50145,68.50349999999999,102.9075,165.7564,15.2,23.0,41.0,50.5,89.4,3644.0,7525.0,12141.0,18500.0,39292.600000000006,,,,,
bookshelf_thin,qp-envelope,73,0.6281924,1.12318,3.26429,8.51629,13.857499999999995,6.0,6.0,10.0,17.0,21.799999999999997,95.0,158.0,419.0,937.0,1658.7999999999995,235.86263750250006,249.72340425531914,263.1526717557252,278.53602305475505,292.8333745985611
box,rrtconnect,100,1.946401,3.2999625000000004,4.998055,7.953035,11.605700000000002,7.0,10.0,13.5,22.25,29.0,995.8000000000001,1607.75,2314.0,4106.75,5380.100000000001,,,,,
box,qp-plain,100,2.100822,3.0841874999999996,5.163185,10.86345,18.31198,6.0,6.0,7.5,14.0,21.10000000000001,399.5,447.75,664.5,1475.75,2237.8,343.0,343.0,343.0,343.0,343.0
box,qp-fixed,100,2.13061,2.9153450000000003,4.49339,10.25545,17.206780000000002,6.0,6.0,7.5,14.0,21.10000000000001,399.5,447.75,664.5,1475.75,2237.8,237.11622867441278,246.10913189002704,258.2782627999644,270.4763937349897,281.88590972469035
box,qp-lipsch,100,0.777277,1.01417,1.86356,5.4931925,11.440500000000004,6.0,6.0,7.5,14.25,22.300000000000026,121.6,148.25,294.0,782.5,1425.9000000000005,242.35468209736123,255.22256097560978,271.4540338039511,286.5562262615301,295.3178571428572
box,qp-free,100,9.769247,20.238475,40.58505,73.0046,118.35830000000004,11.0,18.75,26.0,44.0,57.400000000000034,2055.0,4109.0,7472.5,15288.5,21791.000000000007,,,,,
box,qp-envelope,100,0.5287187,0.6646405000000001,1.2113749999999999,3.185955,7.713730000000002,6.0,6.0,7.5,14.0,22.400000000000034,50.9,76.75,148.0,423.25,915.1000000000005,244.2618691588785,256.624375,272.7350317378624,288.30827702702703,295.529553014553
cage,rrtconnect,100,43.11339,81.014275,230.3475,500.38175,883.1705000000001,104.8,208.0,649.5,1410.75,2859.8000000000006,20613.3,40228.5,110633.0,221222.0,398085.00000000035,,,,,
cage,qp-plain,100,21.499119999999998,48.01285,95.20715,174.88924999999998,285.5419,24.0,43.0,84.0,118.0,157.90000000000015,3420.7,6665.0,15458.0,25392.75,36960.70000000003,343.0,343.0,343.0,343.0,343.0
cage,qp-fixed,100,20.972559999999998,45.805724999999995,92.2921,163.32,268.0758,24.0,43.0,84.0,118.0,157.90000000000015,3420.7,6665.0,15458.0,25392.75,36960.70000000003,259.4017402672147,263.1102586014742,268.97008702774065,273.5525252893615,276.9531736274139
cage,qp-lipsch,100,12.44518,30.976675,73.55135,128.5985,226.40480000000002,24.0,42.5,84.5,124.5,165.80000000000024,1841.9,4535.5,11094.5,19872.75,33330.30000000002,260.29726556566925,265.3291470799803,270.6181131668896,274.9940840541375,282.36848137305947
cage,qp-free,99,385.5296,892.442,1418.3300000000002,2627.935,3888.6500000000005,176.6,321.0,525.0,838.5,1460.0000000000002,91718.80000000002,173880.0,303770.0,488053.5,930756.0,,,,,
