seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,2,isSafe,1,1,0.0175702,10033,49,19.9482,11,999,0,0.00110814,0.00249477,0,0,0,0,324,46,0.151235,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.0132082,2341,28,11.8489,1101,1101,0,0.000619893,0.00249477,0,0,0.0108652,0,6,6,4.66667,0,0,0,1,0,0,2341,644624,2098
1,bookshelf_tall,2,qpPlain,1,1,0.0133478,2341,28,11.8489,1101,1101,0,0.000619893,0.00249477,0,0,0.0108652,0,6,6,4.66667,0,0,0,1,0,0,2341,802963,2341
1,bookshelf_tall,2,qpAdaptive,1,1,0.0109162,1786,29,11.8536,936,936,0,0.000590261,0.00249477,0,0,0.014267,0.231243,6,6,4.83333,0,0,0,0.763718,0.225644,0.0106383,1786,500411,1721
1,bookshelf_tall,2,qpFreeGate,1,1,0.0403812,10501,31,14.8686,1675,1675,0,0.00201806,0.00249477,0,0,0.00362228,0,72,17,0.430556,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,2,qpEnvelope,1,1,0.00902661,1307,24,12.1179,826,826,0,0.000811505,0.00249477,0,0,0.0191409,0.133894,6,6,4,0,0,0,0.866106,0.120888,0.0130069,1307,366004,1249
1,bookshelf_tall,9,isSafe,1,1,0.0492304,27490,142,26.1038,15,1307,0,0.00175005,0.00249477,0,0,0,0,951,138,0.149317,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.00301683,557,6,6.67814,558,558,0,0.00133198,0.00249477,0,0,0.0119895,0,1,1,6,0,0,0,1,0,0,557,159309,262
1,bookshelf_tall,9,qpPlain,1,1,0.00303389,557,6,6.67814,558,558,0,0.00133198,0.00249477,0,0,0.0119895,0,1,1,6,0,0,0,1,0,0,557,191051,557
1,bookshelf_tall,9,qpAdaptive,1,1,0.0017417,294,6,6.68206,462,462,0,0.00133198,0.00249477,0,0,0.0227281,0.319728,1,1,6,0,0,0,0.676871,0.312925,0.0102041,294,91106,250
1,bookshelf_tall,9,qpFreeGate,1,1,0.212793,54399,102,12.6174,1421,1421,0,0.00175005,0.00249477,0,0,0.00325319,0,484,98,0.210744,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,9,qpEnvelope,1,1,0.00106536,145,6,6.68872,405,405,0,0.00133198,0.00249477,0,0,0.0461291,0.551724,1,1,6,0,0,0,0.441379,0.531034,0.0275862,145,44828,130
1,bookshelf_tall,16,isSafe,1,0,10.0001,3517481,40715,0,0,0,0,inf,inf,0,0,0,0,339507,40713,0.119924,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,16,qpFixed,1,0,10.0007,1752367,3326,0,0,0,0,inf,inf,0,0,0.0053991,0,8236,3200,0.403837,0,0,0,1,0,0,1752367,528155253,1665280
1,bookshelf_tall,16,qpPlain,1,0,10.0008,1808925,3416,0,0,0,0,inf,inf,0,0,0.00537919,0,8522,3289,0.400845,0,0,0,1,0,0,1808925,620461275,1808925
1,bookshelf_tall,16,qpAdaptive,1,0,10.0015,1597860,3354,0,0,0,0,inf,inf,0,0,0.00597429,0.0598695,8321,3231,0.403077,0,0,0,0.939843,0.059136,0.00102137,1597860,483176819,1578157
1,bookshelf_tall,16,qpFreeGate,1,0,10.0001,2552298,4439,0,0,0,0,inf,inf,0,0,0.00239548,0,24069,4432,0.184428,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,16,qpEnvelope,1,0,10.0006,1600539,3485,0,0,0,0,inf,inf,0,0,0.00622355,0.00781299,8768,3366,0.397468,0,0,0,0.992144,0.0067671,0.00108901,1600539,483825020,1593936
1,bookshelf_tall,25,isSafe,1,0,10.0072,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpFixed,1,0,10.0002,1728331,7340,0,0,0,0,inf,inf,0,0,0.00738929,0,28819,7338,0.254693,0,0,0,1,0,0,1728331,516154495,1525035
1,bookshelf_tall,25,qpPlain,1,0,10,1762208,7467,0,0,0,0,inf,inf,0,0,0.00736952,0,29387,7465,0.254092,0,0,0,1,0,0,1762208,604437344,1762208
1,bookshelf_tall,25,qpAdaptive,1,0,10.0006,1580966,8222,0,0,0,0,inf,inf,0,0,0.00901881,0.114501,32735,8220,0.251168,0,0,0,0.882818,0.113841,0.00334109,1580966,475513397,1534147
