seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00216876,1092,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00484304,932,9,10.8817,764,764,0,0.00785175,0.00249477,0,0,0.0137537,0,2,2,4.5,0,0,0,1,0,0,932,233095,371
1,bookshelf_tall,1,qpPlain,1,1,0.00487497,932,9,10.8817,764,764,0,0.00785175,0.00249477,0,0,0.0137537,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.0019107,354,9,10.8764,630,630,0,0.00785175,0.00249477,0,0,0.0361738,0.576271,2,2,4.5,0,0,0,0.418079,0.564972,0.0169492,354,95002,250
1,bookshelf_tall,1,qpEnvelope,1,1,0.00115865,144,9,10.8791,584,584,0,0.00785175,0.00249477,0,0,0.0890645,0.708333,2,2,4.5,0,0,0,0.291667,0.666667,0.0416667,144,40227,106
1,bookshelf_tall,8,isSafe,1,1,0.00539478,3179,18,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.00748187,1391,12,12.2438,933,933,0,0.00104147,0.00249477,0,0,0.0121052,0,2,2,6,0,0,0,1,0,0,1391,371835,840
1,bookshelf_tall,8,qpPlain,1,1,0.00783626,1391,12,12.2438,933,933,0,0.00104147,0.00249477,0,0,0.0121052,0,2,2,6,0,0,0,1,0,0,1391,477113,1391
1,bookshelf_tall,8,qpAdaptive,1,1,0.00561243,900,12,12.2496,794,794,0,0.00103989,0.00249477,0,0,0.0187114,0.163333,2,2,6,0,0,0,0.834444,0.16,0.00555556,900,243024,814
1,bookshelf_tall,8,qpEnvelope,1,1,0.00468113,711,12,12.2674,721,721,0,0.00108033,0.00249477,0,0,0.0237162,0.0815752,2,2,6,0,0,0,0.918425,0.0745429,0.00703235,711,187832,691
1,bookshelf_tall,15,isSafe,1,1,0.0405491,22917,118,16.3734,10,820,0,0.00376763,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.0170849,3111,21,14.7101,1293,1293,0,0.000639274,0.00249477,0,0,0.0104576,0,9,8,2.33333,0,0,0,1,0,0,3111,815862,2483
1,bookshelf_tall,15,qpPlain,1,1,0.0180147,3111,21,14.7101,1293,1293,0,0.000639274,0.00249477,0,0,0.0104576,0,9,8,2.33333,0,0,0,1,0,0,3111,1067073,3111
