scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,520,2.043387,3.5803475,7.1522950000000005,26.815649999999998,222.05320000000032,7.0,10.0,18.0,60.0,617.8000000000006,1009.4000000000001,1645.0,3312.5,12256.25,109310.1
all scenes,qp-fixed,520,2.6477540000000004,3.57043,7.5781600000000005,28.413775,101.86170000000001,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006
all scenes,qp-lipsch,520,0.7902564999999999,1.4649050000000001,4.8754800000000005,21.785225,91.24015000000004,6.0,7.0,12.0,29.0,85.0,114.80000000000001,212.25,651.0,2854.5,12372.2
all scenes,qp-free,519,12.632880000000002,26.18795,57.4532,200.47199999999998,1781.1719999999993,12.800000000000004,21.0,36.0,90.5,621.9999999999998,2440.2000000000003,5179.0,11741.0,39008.5,362310.7999999999
all scenes,qp-envelope,520,0.5515136,0.95341125,3.34678,14.041725,81.25615,6.0,7.0,12.0,28.25,85.20000000000005,56.900000000000006,113.75,428.5,1778.75,9484.900000000009
bookshelf_small,rrtconnect,57,1.648194,2.21884,9.62461,22.0515,55.71963999999997,6.0,8.0,23.0,46.0,135.59999999999997,746.0,1204.0,4238.0,9302.0,27831.599999999995
bookshelf_small,qp-fixed,57,2.4160340000000002,3.35307,4.9054199999999994,11.0717,33.63726,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999
bookshelf_small,qp-lipsch,57,0.6681986,1.58481,2.42471,6.99873,29.592539999999993,5.6000000000000005,6.0,7.0,15.0,31.199999999999996,118.2,231.0,326.0,823.0,3912.7999999999997
bookshelf_small,qp-free,57,5.229968,10.4328,37.9995,122.039,323.6823999999999,8.0,13.0,24.0,67.0,122.19999999999996,1039.2,2443.0,7072.0,21199.0,60370.8
bookshelf_small,qp-envelope,57,0.39974380000000004,0.907517,1.97917,4.8459,19.8739,5.6000000000000005,6.0,7.0,15.0,30.4,45.800000000000004,99.0,233.0,611.0,2563.5999999999995
bookshelf_tall,rrtconnect,46,2.159145,3.7514250000000002,9.276380000000001,26.550849999999997,53.945949999999996,8.5,10.5,24.0,60.0,129.0,1162.5,1693.5,4638.0,11824.25,25925.0
bookshelf_tall,qp-fixed,46,2.9584449999999998,6.529579999999999,11.9474,26.857575,42.99005,6.0,9.0,17.5,28.5,34.5,468.5,972.5,1715.0,3986.5,5395.5
