seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,isSafe,1,1,0.00216048,1092,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00492587,932,9,10.8735,764,764,0,0.00785175,0.00249477,0,0,0.0137517,0,2,2,4.5,0,0,0,1,0,0
1,bookshelf_tall,1,qpAdaptive,1,1,0.00212589,362,9,10.8711,629,629,0,0.00785175,0.00249477,0,0,0.0353837,0.538674,2,2,4.5,0,0,0,0.461326,0.522099,0.0165746
1,bookshelf_tall,1,qpFreeGate,1,1,0.00710558,1702,11,10.3729,1039,1039,0,0.00717712,0.00249477,0,0,0.00690483,0,7,5,1.57143,0,0,0,1,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.00113385,151,9,10.8719,587,587,0,0.00785175,0.00249477,0,0,0.0849078,0.675497,2,2,4.5,0,0,0,0.324503,0.635762,0.0397351
1,bookshelf_tall,8,isSafe,1,1,0.00548911,3179,18,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.00760209,1399,12,12.2277,934,934,0,0.00400965,0.00249477,0,0,0.0121047,0,2,2,6,0,0,0,1,0,0
1,bookshelf_tall,8,qpAdaptive,1,1,0.00579004,914,12,12.2335,793,793,0,0.00400988,0.00249477,0,0,0.0185343,0.149891,2,2,6,0,0,0,0.850109,0.14442,0.00547046
1,bookshelf_tall,8,qpFreeGate,1,1,0.023242,5376,37,15.9007,1504,1504,0,0.00427847,0.00249477,0,0,0.00720001,0,39,18,0.948718,0,0,0,1,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.00490839,724,12,12.2674,725,725,0,0.00404427,0.00249477,0,0,0.023451,0.0745856,2,2,6,0,0,0,0.925414,0.0676796,0.00690608
1,bookshelf_tall,15,isSafe,1,1,0.0413581,22917,118,16.3734,10,820,0,0.00376763,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.0328201,5883,35,15.4903,1214,1214,0,0.00396864,0.00249477,0,0,0.0102187,0,20,17,1.75,0,0,0,1,0,0
1,bookshelf_tall,15,qpAdaptive,1,1,0.02858,4603,35,15.4805,1116,1116,0,0.00399172,0.00249477,0,0,0.0130713,0.148381,20,17,1.75,0,0,0,0.850532,0.146209,0.00325874
