seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,4,qpFreeGate,1,0,10,1163569,16782,0,0,0,0,inf,inf,0,0,0.011637,0,176558,16780,0.0950509,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,11,qpFreeGate,1,1,0.345489,46752,419,25.4465,1872,1872,0,0.00615429,0.00249477,0,0,0.012926,0,2964,412,0.141363,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,19,qpFreeGate,1,1,0.149221,20458,188,23.9653,1701,1701,0,0.00738547,0.00249477,0,0,0.0131986,0,991,181,0.189707,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,27,qpFreeGate,1,0,10.0001,1160372,16768,0,0,0,0,inf,inf,0,0,0.0115885,0,178459,16766,0.09396,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,34,qpFreeGate,1,0,10.0003,1188873,17099,0,0,0,0,inf,inf,0,0,0.0114765,0,191975,17097,0.0890689,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,41,qpFreeGate,1,1,0.0302349,4227,36,17.9222,1333,1333,0,0.0104664,0.00249477,0,0,0.0128936,0,155,32,0.232258,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,48,qpFreeGate,1,0,10,1129818,15997,0,0,0,0,inf,inf,0,0,0.0118593,0,147987,15995,0.108097,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,55,qpFreeGate,1,1,0.316097,42531,372,27.4994,2040,2040,0,0.00574338,0.00249477,0,0,0.0126477,0,2907,367,0.127967,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,62,qpFreeGate,1,1,0.171591,23830,209,18.1354,1348,1348,0,0.00572261,0.00249477,0,0,0.0129997,0,1142,205,0.183012,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,70,qpFreeGate,1,1,0.141198,19249,167,17.5416,1240,1240,0,0.0033938,0.00249477,0,0,0.0130682,0,976,164,0.171107,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,77,qpFreeGate,1,1,0.134848,18183,158,25.0629,1852,1852,0,0.00962253,0.00249477,0,0,0.0131659,0,994,154,0.158954,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,84,qpFreeGate,1,1,0.0108171,1534,14,13.0239,1030,1030,0,0.00303427,0.00249477,0,0,0.0130384,0,38,8,0.368421,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,91,qpFreeGate,1,1,0.406237,56124,527,23.9883,1820,1820,0,0.00585273,0.00249477,0,0,0.0126045,0,4270,519,0.123419,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,100,qpFreeGate,1,0,10.0003,1179688,17118,0,0,0,0,inf,inf,0,0,0.0115059,0,187219,17116,0.091433,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,7,qpFreeGate,1,0,10.0002,1203063,17556,0,0,0,0,inf,inf,0,0,0.0117983,0,168901,17554,0.103943,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,14,qpFreeGate,1,1,0.0861737,11850,103,20.51,1445,1445,0,0.00585742,0.00249477,0,0,0.0135991,0,457,97,0.225383,0,0,0,1,0,0,0,0,0
