seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,qpFreeGate,1,1,0.0415115,8617,74,13.3026,958,958,0,0.00785175,0.00249477,0,0,0.0132723,0,329,69,0.224924,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpFreeGate,1,1,0.0936219,19151,163,18.6505,1366,1366,0,0.00427847,0.00249477,0,0,0.0131399,0,916,160,0.177948,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpFreeGate,1,1,0.162461,33868,311,17.594,1330,1330,0,0.00777073,0.00249477,0,0,0.0127411,0,2018,306,0.154113,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,23,qpFreeGate,1,1,0.0226592,4687,39,19.0516,1440,1440,0,0.00824879,0.00249477,0,0,0.0130584,0,238,36,0.163866,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,31,qpFreeGate,1,0,10.0003,1617849,24357,0,0,0,0,inf,inf,0,0,0.0112097,0,290389,24355,0.0838771,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,38,qpFreeGate,1,0,10,1587054,23928,0,0,0,0,inf,inf,0,0,0.0111631,0,291483,23926,0.0820906,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,45,qpFreeGate,1,0,10,1632759,25076,0,0,0,0,inf,inf,0,0,0.0115374,0,258889,25074,0.09686,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,52,qpFreeGate,1,1,0.132985,27193,227,23.3159,1667,1667,0,0.00727693,0.00249477,0,0,0.0127419,0,1410,223,0.160993,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,59,qpFreeGate,1,0,10.0001,1660837,25720,0,0,0,0,inf,inf,0,0,0.0116019,0,257635,25718,0.0998312,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,66,qpFreeGate,1,1,0.0190326,3846,33,15.1833,1144,1144,0,0.00336209,0.00249477,0,0,0.013856,0,101,28,0.326733,0,0,0,1,0,0,0,0,0
