seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
3,bookshelf_tall,1,isSafe,1,1,0.000417147,464,8,8.48642,6,426,0,0.000473481,0.00249477,0,0,0,0
3,bookshelf_tall,1,bubbleCBF,1,1,0.0002714,120,7,7.89673,446,446,0,0.00315627,0.00249477,0,0,0.0658061,0.558333
3,bookshelf_tall,1,VAMP,1,1,0.00011612,3323,17,12.5814,8,631,0,0.00358887,0.00249477,0,0,0,0
3,bookshelf_tall,2,isSafe,1,1,0.00388706,4408,50,14.3559,9,719,0,0.00529037,0.00249477,0,0,0,0
3,bookshelf_tall,2,bubbleCBF,1,1,0.00158545,521,20,13.9333,866,866,0,0.00080477,0.00249477,0,0,0.0328211,0.0786948
3,bookshelf_tall,2,VAMP,1,1,0.000123183,2768,22,19.7076,11,987,0,8.82581e-05,0.00249477,0,0,0,0
3,bookshelf_tall,8,isSafe,1,1,0.00262223,3060,36,17.1609,10,860,7,-0.00330066,0.00249477,0,0,0,0
3,bookshelf_tall,8,bubbleCBF,1,1,0.00080909,326,11,8.79346,650,650,3,-0.000153626,0.00249477,0,0,0.0269738,0.0214724
3,bookshelf_tall,8,VAMP,1,1,0.000227945,7673,34,16.5226,10,828,13,-0.00103242,0.00249477,0,0,0,0
3,bookshelf_tall,9,isSafe,1,1,0.00606179,6964,79,11.3835,7,571,5,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,9,bubbleCBF,1,1,0.0017378,616,26,11.8799,778,778,7,-0.00224995,0.00249477,0,0,0.0300021,0.0503247
3,bookshelf_tall,9,VAMP,1,1,0.000259793,9168,35,11.9008,7,597,6,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,10,isSafe,1,1,0.000705963,791,11,11.2807,7,566,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,10,bubbleCBF,1,1,0.00385629,1298,25,8.57918,545,545,1,-3.43804e-05,0.00249477,0,0,0.0293582,0.0392912
3,bookshelf_tall,10,VAMP,1,1,3.1153e-05,431,7,9.07044,6,455,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,11,isSafe,1,1,0.0117091,13427,159,9.63795,7,483,0,0.00215429,0.00249477,0,0,0,0
3,bookshelf_tall,11,bubbleCBF,1,1,0.00121126,463,18,11.2877,730,730,0,0.00162771,0.00249477,0,0,0.0308201,0.105832
3,bookshelf_tall,11,VAMP,1,1,0.00019265,7417,30,12.2595,8,614,21,-0.00292585,0.00249477,0,0,0,0
3,bookshelf_tall,15,isSafe,1,1,0.0136313,15555,181,16.2067,10,812,0,0.00377073,0.00249477,0,0,0,0
3,bookshelf_tall,15,bubbleCBF,1,1,0.000917665,328,15,10.6137,662,662,0,0.00282182,0.00249477,0,0,0.0365732,0.170732
3,bookshelf_tall,15,VAMP,1,1,0.00070525,24808,84,14.1407,9,709,6,-0.00243638,0.00249477,0,0,0,0
3,bookshelf_tall,17,isSafe,1,1,0.000955003,1104,14,10.8109,7,542,0,0.000965609,0.00249477,0,0,0,0
3,bookshelf_tall,17,bubbleCBF,1,1,0.000452182,170,7,6.781,440,440,0,0.000580516,0.00249477,0,0,0.0398882,0.147059
3,bookshelf_tall,17,VAMP,1,1,3.9916e-05,479,8,8.31264,6,417,5,-0.00159922,0.00249477,0,0,0,0
3,bookshelf_tall,19,isSafe,1,1,0.000326731,355,7,8.32588,6,418,0,0.000726136,0.00249477,0,0,0,0
3,bookshelf_tall,19,bubbleCBF,1,1,0.00139354,493,14,9.01259,560,560,0,0.00169738,0.00249477,0,0,0.0321716,0.0446247
3,bookshelf_tall,19,VAMP,1,1,0.000145258,4924,22,7.96671,5,400,10,-0.00246623,0.00249477,0,0,0,0
3,bookshelf_tall,22,isSafe,1,1,0.000920293,1055,15,12.541,8,629,0,0.00280062,0.00249477,0,0,0,0
3,bookshelf_tall,22,bubbleCBF,1,1,0.00285615,984,60,17.5116,1164,1164,3,-0.0014649,0.00249477,0,0,0.02751,0.0132114
3,bookshelf_tall,22,VAMP,1,1,9.835e-05,2492,18,20.6188,12,1032,0,0.00146324,0.00249477,0,0,0,0
3,bookshelf_tall,23,isSafe,1,1,0.000780303,880,13,12.0123,8,602,0,0.00424879,0.00249477,0,0,0,0
3,bookshelf_tall,23,bubbleCBF,1,1,0.00253446,867,17,12.4875,759,759,0,0.000856604,0.00249477,0,0,0.0330368,0.110727
