scene,seed,config,goal,solved,seconds,unsafe,calls
empty,0,escape_off,front-right_top-down,1,7.4e-05,0,22
empty,0,escape_off,front-left_top-down,1,3.6e-05,0,17
empty,0,escape_off,high_reach_forward,0,2.000067,0,763939
empty,0,escape_off,behind_top-down,1,9.6e-05,0,37
empty,0,escape_on,front-right_top-down,1,7.4e-05,0,22
empty,0,escape_on,front-left_top-down,1,3.5e-05,0,17
empty,0,escape_on,high_reach_forward,0,2.000171,0,616981
empty,0,escape_on,behind_top-down,1,0.000103,0,37
empty,1,escape_on,front-right_top-down,1,5.5e-05,0,23
empty,1,escape_on,front-left_top-down,1,4.8e-05,0,24
empty,1,escape_on,high_reach_forward,0,2.0001,0,617229
empty,1,escape_on,behind_top-down,1,0.000125,0,121
empty,1,escape_off,front-right_top-down,1,5.7e-05,0,23
empty,1,escape_off,front-left_top-down,1,4.7e-05,0,24
empty,1,escape_off,high_reach_forward,0,2.000153,0,762246
empty,1,escape_off,behind_top-down,1,0.000112,0,121
empty,2,escape_off,front-right_top-down,1,0.000104,0,45
empty,2,escape_off,front-left_top-down,1,4e-05,0,47
empty,2,escape_off,high_reach_forward,0,2.000035,0,765481
empty,2,escape_off,behind_top-down,1,0.000145,0,112
empty,2,escape_on,front-right_top-down,1,0.000102,0,45
empty,2,escape_on,front-left_top-down,1,3.8e-05,0,47
empty,2,escape_on,high_reach_forward,0,2.000068,0,619807
empty,2,escape_on,behind_top-down,1,0.000139,0,109
pillars,0,escape_off,between_posts_right,1,0.000267,0,353
pillars,0,escape_off,between_posts_left,1,9e-05,0,45
pillars,0,escape_off,far_side_low,1,0.000143,0,49
pillars,0,escape_off,behind_the_field,1,0.000131,0,52
pillars,0,escape_on,between_posts_right,1,0.000267,0,242
pillars,0,escape_on,between_posts_left,1,9e-05,0,45
pillars,0,escape_on,far_side_low,1,0.000141,0,49
pillars,0,escape_on,behind_the_field,1,0.00013,0,52
pillars,1,escape_on,between_posts_right,1,0.00016,0,75
pillars,1,escape_on,between_posts_left,1,8.6e-05,0,49
pillars,1,escape_on,far_side_low,1,0.000145,0,83
pillars,1,escape_on,behind_the_field,1,0.000168,0,124
pillars,1,escape_off,between_posts_right,1,0.00016,0,75
pillars,1,escape_off,between_posts_left,1,8.9e-05,0,49
pillars,1,escape_off,far_side_low,1,0.000144,0,86
pillars,1,escape_off,behind_the_field,1,0.00017,0,124
pillars,2,escape_off,between_posts_right,1,0.000188,0,85
pillars,2,escape_off,between_posts_left,1,9.2e-05,0,66
pillars,2,escape_off,far_side_low,1,9.3e-05,0,26
pillars,2,escape_off,behind_the_field,1,0.000144,0,120
pillars,2,escape_on,between_posts_right,1,0.000183,0,85
pillars,2,escape_on,between_posts_left,1,8.6e-05,0,66
pillars,2,escape_on,far_side_low,1,9e-05,0,26
pillars,2,escape_on,behind_the_field,1,0.000145,0,119
clutter,0,escape_off,high_forward,1,0.000324,0,124
clutter,0,escape_off,behind,1,0.00265,0,957
clutter,0,escape_on,high_forward,1,0.000315,0,124
clutter,0,escape_on,behind,1,0.002758,0,900
clutter,1,escape_on,high_forward,1,0.000354,0,106
clutter,1,escape_on,behind,1,0.001485,0,315
clutter,1,escape_off,high_forward,1,0.000352,0,112
clutter,1,escape_off,behind,1,0.002003,0,307
clutter,2,escape_off,high_forward,1,0.000445,0,139
clutter,2,escape_off,behind,1,0.000697,0,1094
clutter,2,escape_on,high_forward,1,0.000445,0,139
clutter,2,escape_on,behind,1,0.000769,0,445
shelf,0,escape_off,lower_bay_left,1,0.003622,0,2843
shelf,0,escape_off,lower_bay_right,1,0.001285,0,473
shelf,0,escape_off,upper_bay_left,1,0.000543,0,206
shelf,0,escape_off,upper_bay_right,1,0.000354,0,170
shelf,0,escape_on,lower_bay_left,1,0.004096,0,2064
shelf,0,escape_on,lower_bay_right,1,0.000755,0,428
shelf,0,escape_on,upper_bay_left,1,0.000591,0,193
shelf,0,escape_on,upper_bay_right,1,0.000343,0,156
shelf,1,escape_on,lower_bay_left,1,0.002979,0,413
shelf,1,escape_on,lower_bay_right,1,0.000986,1,351
shelf,1,escape_on,upper_bay_left,1,0.001611,0,211
shelf,1,escape_on,upper_bay_right,1,0.000388,0,115
shelf,1,escape_off,lower_bay_left,1,0.002441,0,610
shelf,1,escape_off,lower_bay_right,1,0.001882,1,747
shelf,1,escape_off,upper_bay_left,1,0.00106,0,242
shelf,1,escape_off,upper_bay_right,1,0.000801,0,310
shelf,2,escape_off,lower_bay_left,1,0.004144,0,1165
shelf,2,escape_off,lower_bay_right,1,0.002433,0,1025
shelf,2,escape_off,upper_bay_left,1,0.000402,0,164
shelf,2,escape_off,upper_bay_right,1,0.000515,0,183
shelf,2,escape_on,lower_bay_left,1,0.006129,0,1081
shelf,2,escape_on,lower_bay_right,1,0.001338,0,1016
shelf,2,escape_on,upper_bay_left,1,0.000401,0,164
shelf,2,escape_on,upper_bay_right,1,0.000337,0,140
corridor,0,escape_off,corridor_entrance_from_above,1,0.00038,0,109
corridor,0,escape_off,under_the_ceiling,1,0.001078,0,525
corridor,0,escape_off,far_end_under_the_ceiling,1,0.001794,0,489
corridor,0,escape_on,corridor_entrance_from_above,1,0.00038,0,109
corridor,0,escape_on,under_the_ceiling,1,0.001586,0,573
corridor,0,escape_on,far_end_under_the_ceiling,1,0.002267,0,488
corridor,1,escape_on,corridor_entrance_from_above,1,0.000348,0,95
corridor,1,escape_on,under_the_ceiling,1,0.002206,0,608
corridor,1,escape_on,far_end_under_the_ceiling,1,0.004388,0,837
corridor,1,escape_off,corridor_entrance_from_above,1,0.000349,0,95
corridor,1,escape_off,under_the_ceiling,1,0.002311,0,929
