seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
3,bookshelf_tall,1,isSafe,1,1,0.000448913,464,8,8.48642,6,426,0,0.000473481,0.00249477,0,0,0,0
3,bookshelf_tall,1,bubbleCBF,1,1,0.000354344,134,6,7.89669,444,444,0,0.00315717,0.00249477,0,0,0.0589305,0.507463
3,bookshelf_tall,1,VAMP,1,1,0.000134113,3323,17,12.5814,8,631,0,0.00358887,0.00249477,0,0,0,0
3,bookshelf_tall,2,isSafe,1,1,0.00394404,4408,50,14.3559,9,719,0,0.00529037,0.00249477,0,0,0,0
3,bookshelf_tall,2,bubbleCBF,1,1,0.00159083,529,16,10.9781,688,688,0,0.00259483,0.00249477,0,0,0.0282554,0.0510397
3,bookshelf_tall,2,VAMP,1,1,0.000130682,2768,22,19.7076,11,987,0,8.82581e-05,0.00249477,0,0,0,0
3,bookshelf_tall,8,isSafe,1,1,0.00266034,3060,36,17.1609,10,860,7,-0.00330066,0.00249477,0,0,0,0
3,bookshelf_tall,8,bubbleCBF,1,1,0.00100345,363,7,8.95348,624,624,0,0.000278469,0.00249477,0,0,0.0246652,0.0192837
3,bookshelf_tall,8,VAMP,1,1,0.000245795,7673,34,16.5226,10,828,13,-0.00103242,0.00249477,0,0,0,0
3,bookshelf_tall,9,isSafe,1,1,0.00608743,6964,79,11.3835,7,571,5,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,9,bubbleCBF,1,1,0.00336779,1192,30,12.4937,758,758,1,-0.00224995,0.00249477,0,0,0.0220253,0.0293624
3,bookshelf_tall,9,VAMP,1,1,0.000266677,9168,35,11.9008,7,597,6,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,10,isSafe,1,1,0.000702385,791,11,11.2807,7,566,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,10,bubbleCBF,1,1,0.00874779,3022,35,7.8155,488,488,1,-3.43804e-05,0.00249477,0,0,0.0206636,0.035407
3,bookshelf_tall,10,VAMP,1,1,3.5905e-05,431,7,9.07044,6,455,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,11,isSafe,1,1,0.0118195,13427,159,9.63795,7,483,0,0.00215429,0.00249477,0,0,0,0
