scene,seed,config,goal,solved,seconds,unsafe,calls
empty,0,sequential,front-right_top-down,1,7.3e-05,0,22
empty,0,sequential,front-left_top-down,1,3.6e-05,0,17
empty,0,sequential,high_reach_forward,0,2.000085,0,757323
empty,0,sequential,behind_top-down,1,0.000112,0,37
empty,0,picard_fixed,front-right_top-down,1,0.000304,0,176
empty,0,picard_fixed,front-left_top-down,1,0.000201,0,130
empty,0,picard_fixed,high_reach_forward,0,2.000608,0,813588
empty,0,picard_fixed,behind_top-down,1,0.000287,0,172
empty,0,picard_adaptive,front-right_top-down,1,0.000117,0,29
empty,0,picard_adaptive,front-left_top-down,1,5.7e-05,0,25
empty,0,picard_adaptive,high_reach_forward,0,2.000158,0,742818
empty,0,picard_adaptive,behind_top-down,1,0.000184,0,58
empty,1,picard_fixed,front-right_top-down,1,0.000289,0,167
empty,1,picard_fixed,front-left_top-down,1,0.000183,0,120
empty,1,picard_fixed,high_reach_forward,0,2.000899,0,821633
empty,1,picard_fixed,behind_top-down,1,0.000244,0,232
empty,1,picard_adaptive,front-right_top-down,1,8.1e-05,0,32
empty,1,picard_adaptive,front-left_top-down,1,7.9e-05,0,34
empty,1,picard_adaptive,high_reach_forward,0,2.000288,0,767205
empty,1,picard_adaptive,behind_top-down,1,0.00022,0,136
empty,1,sequential,front-right_top-down,1,5.7e-05,0,23
empty,1,sequential,front-left_top-down,1,5e-05,0,24
empty,1,sequential,high_reach_forward,0,2.000042,0,759852
empty,1,sequential,behind_top-down,1,0.000134,0,121
empty,2,picard_adaptive,front-right_top-down,1,0.000128,0,77
empty,2,picard_adaptive,front-left_top-down,1,7.5e-05,0,63
empty,2,picard_adaptive,high_reach_forward,0,2.000134,0,768060
empty,2,picard_adaptive,behind_top-down,1,0.000241,0,122
empty,2,sequential,front-right_top-down,1,0.000108,0,45
empty,2,sequential,front-left_top-down,1,4e-05,0,47
empty,2,sequential,high_reach_forward,0,2.000037,0,759675
empty,2,sequential,behind_top-down,1,0.00015,0,112
empty,2,picard_fixed,front-right_top-down,1,0.000275,0,143
empty,2,picard_fixed,front-left_top-down,1,0.000142,0,93
empty,2,picard_fixed,high_reach_forward,0,2.000469,0,817210
empty,2,picard_fixed,behind_top-down,1,0.000272,0,187
pillars,0,sequential,between_posts_right,1,0.000281,0,353
pillars,0,sequential,between_posts_left,1,9.6e-05,0,45
pillars,0,sequential,far_side_low,1,0.000142,0,49
pillars,0,sequential,behind_the_field,1,0.00013,0,52
pillars,0,picard_fixed,between_posts_right,1,0.000481,0,1766
pillars,0,picard_fixed,between_posts_left,1,0.000286,0,139
pillars,0,picard_fixed,far_side_low,1,0.000221,0,128
pillars,0,picard_fixed,behind_the_field,1,0.000265,0,167
pillars,0,picard_adaptive,between_posts_right,1,0.000331,0,478
pillars,0,picard_adaptive,between_posts_left,1,0.000152,0,72
pillars,0,picard_adaptive,far_side_low,1,0.000165,0,74
pillars,0,picard_adaptive,behind_the_field,1,0.000184,0,76
pillars,1,picard_fixed,between_posts_right,1,0.000294,0,156
pillars,1,picard_fixed,between_posts_left,1,0.000259,0,190
pillars,1,picard_fixed,far_side_low,1,0.00025,0,156
pillars,1,picard_fixed,behind_the_field,1,0.000292,0,264
pillars,1,picard_adaptive,between_posts_right,1,0.000283,0,99
pillars,1,picard_adaptive,between_posts_left,1,0.000135,0,71
pillars,1,picard_adaptive,far_side_low,1,0.000224,0,93
pillars,1,picard_adaptive,behind_the_field,1,0.000235,0,143
pillars,1,sequential,between_posts_right,1,0.000164,0,75
pillars,1,sequential,between_posts_left,1,8.7e-05,0,49
pillars,1,sequential,far_side_low,1,0.000149,0,86
pillars,1,sequential,behind_the_field,1,0.000168,0,124
pillars,2,picard_adaptive,between_posts_right,1,0.000308,0,129
pillars,2,picard_adaptive,between_posts_left,1,0.000155,0,107
pillars,2,picard_adaptive,far_side_low,1,0.000153,0,38
pillars,2,picard_adaptive,behind_the_field,1,0.000214,0,138
pillars,2,sequential,between_posts_right,1,0.000191,0,85
pillars,2,sequential,between_posts_left,1,9.3e-05,0,66
pillars,2,sequential,far_side_low,1,9.5e-05,0,26
pillars,2,sequential,behind_the_field,1,0.000145,0,120
pillars,2,picard_fixed,between_posts_right,1,0.000437,0,214
pillars,2,picard_fixed,between_posts_left,1,0.000258,0,167
pillars,2,picard_fixed,far_side_low,1,0.000221,0,99
pillars,2,picard_fixed,behind_the_field,1,0.000267,0,285
clutter,0,sequential,high_forward,1,0.000342,0,124
clutter,0,sequential,behind,1,0.0026,0,957
clutter,0,picard_fixed,high_forward,1,0.001238,0,555
clutter,0,picard_fixed,behind,1,0.014891,0,5358
clutter,0,picard_adaptive,high_forward,1,0.000433,0,160
clutter,0,picard_adaptive,behind,1,0.003238,0,1138
clutter,1,picard_fixed,high_forward,1,0.001539,0,563
