seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,qpFixed,1,1,0.00272579,896,9,11.0271,754,754,0,0.00299169,0.00249477,0,0,0.0143699,0,2,2,4.5,0,0,0,1,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00286838,1068,9,10.832,826,826,0,0.00290445,0.00249477,0,0,0.0122848,0,2,2,4.5,0,0,0,1,0,0
1,bookshelf_thin,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,qpFixed,1,1,0.00333406,1146,48,12.4442,1039,1039,2,-0.000515286,0.00249477,0,0,0.0113097,0,2,2,24,0,0,0,1,0,0
1,table_under_pick,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,2,qpFixed,1,1,0.00364928,1190,12,10.2074,850,850,8,-0.00333711,0.00249477,0,0,0.0123193,0,4,4,3,0,0,0,1,0,0
1,bookshelf_small,1,qpFixed,1,1,0.000908252,400,6,6.29066,401,401,0,0.00327643,0.00249477,0,0,0.0157267,0,1,1,6,0,0,0,1,0,0
1,bookshelf_small,2,qpFixed,1,0,5.00013,2087833,3842,0,0,0,0,inf,inf,0,0,0.00538528,0,10236,3731,0.375342,0,0,0,1,0,0
1,box,1,qpFixed,1,1,0.00136287,476,6,5.9887,496,496,0,0.00295515,0.00249477,0,0,0.0125813,0,1,1,6,0,0,0,1,0,0
1,box,2,qpFixed,1,1,0.00319608,1094,42,12.532,986,986,0,0.00294587,0.00249477,0,0,0.0117831,0,3,3,14,0,0,0,1,0,0
1,table_pick,1,qpFixed,1,1,0.00172576,637,7,8.38876,638,638,0,0.00297314,0.00249477,0,0,0.0131692,0,1,1,7,0,0,0,1,0,0
1,table_pick,2,qpFixed,1,1,0.00681105,1931,43,11.9841,997,997,0,0.00294544,0.00249477,0,0,0.0107713,0,4,4,10.75,0,0,0,1,0,0
1,cage,1,qpFixed,1,1,0.0316049,11294,65,18.6657,1283,1283,17,-0.00318907,0.00249477,0,0,0.0101494,0,46,34,1.41304,0,0,0,1,0,0
1,cage,2,qpFixed,1,1,0.0367748,10011,98,24.637,2018,2018,0,0.000450088,0.00249477,0,0,0.0100913,0,41,33,2.39024,0,0,0,1,0,0
