seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,qpFixed,1,1,0.00511799,932,9,10.8735,764,764,0,0.00785175,0.00249477,0,0,0.0137517,0,2,2,4.5,0,0,0,1,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.0518853,9239,80,31.4274,2478,2478,0,0.00330517,0.00249477,0,0,0.0104577,0,34,29,2.35294,0,0,0,1,0,0
1,bookshelf_thin,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,qpFixed,1,1,0.00435868,693,8,8.94712,694,694,0,0.0032995,0.00249477,0,0,0.0129107,0,1,1,8,0,0,0,1,0,0
1,table_under_pick,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,2,qpFixed,1,1,0.00879385,1007,13,7.05559,650,650,0,0.00605316,0.00249477,0,0,0.0112502,0,3,3,4.33333,0,0,0,1,0,0
1,bookshelf_small,1,qpFixed,1,1,0.00189893,401,6,6.29377,402,402,0,0.00745058,0.00249477,0,0,0.0156952,0,1,1,6,0,0,0,1,0,0
1,bookshelf_small,2,qpFixed,1,0,5.00174,875985,1759,0,0,0,0,inf,inf,0,0,0.00570366,0,3933,1661,0.447241,0,0,0,1,0,0
1,box,1,qpFixed,1,1,0.00725022,1264,11,9.27471,685,685,0,0.00887519,0.00249477,0,0,0.011421,0,4,4,2.75,0,0,0,1,0,0
1,box,2,qpFixed,1,1,0.0090135,1591,12,9.34686,638,638,0,0.0460901,0.00249477,0,0,0.0112349,0,4,4,3,0,0,0,1,0,0
1,table_pick,1,qpFixed,1,1,0.00347248,637,7,8.41411,638,638,0,0.00350299,0.00249477,0,0,0.013209,0,1,1,7,0,0,0,1,0,0
1,table_pick,2,qpFixed,1,1,0.0150778,2826,24,15.5974,1276,1276,0,0.00366153,0.00249477,0,0,0.010543,0,7,7,3.42857,0,0,0,1,0,0
1,cage,1,qpFixed,1,1,0.0669885,11917,77,17.7653,1293,1293,0,0.00632935,0.00249477,0,0,0.00900227,0,46,36,1.67391,0,0,0,1,0,0
1,cage,2,qpFixed,1,1,0.0626379,10829,60,24.0934,2131,2131,0,0.00329225,0.00249477,0,0,0.00942238,0,41,32,1.46341,0,0,0,1,0,0
